Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,49
US National,Season onset,Bin,week,40,41,8.543746983505785e-5
US National,Season onset,Bin,week,41,42,8.802144861049546e-5
US National,Season onset,Bin,week,42,43,8.797112919424061e-5
US National,Season onset,Bin,week,43,44,8.792190573299226e-5
US National,Season onset,Bin,week,44,45,8.80169977323835e-5
US National,Season onset,Bin,week,45,46,3.435374658433422e-4
US National,Season onset,Bin,week,46,47,0.02510070721202835
US National,Season onset,Bin,week,47,48,0.3620639280730358
US National,Season onset,Bin,week,48,49,0.042333244855734836
US National,Season onset,Bin,week,49,50,0.5442696393349895
US National,Season onset,Bin,week,50,51,0.02324759734423412
US National,Season onset,Bin,week,51,52,2.707539921824109e-4
US National,Season onset,Bin,week,52,53,8.809636656299234e-5
US National,Season onset,Bin,week,1,2,8.817506790316638e-5
US National,Season onset,Bin,week,2,3,8.827806393335954e-5
US National,Season onset,Bin,week,3,4,8.819468858955876e-5
US National,Season onset,Bin,week,4,5,8.821167519502912e-5
US National,Season onset,Bin,week,5,6,8.819438966612083e-5
US National,Season onset,Bin,week,6,7,8.827800837036318e-5
US National,Season onset,Bin,week,7,8,8.819012472474469e-5
US National,Season onset,Bin,week,8,9,8.809448895649194e-5
US National,Season onset,Bin,week,9,10,8.803945236117349e-5
US National,Season onset,Bin,week,10,11,8.799896958750945e-5
US National,Season onset,Bin,week,11,12,8.813247489537586e-5
US National,Season onset,Bin,week,12,13,8.794221595163298e-5
US National,Season onset,Bin,week,13,14,8.791476085885891e-5
US National,Season onset,Bin,week,14,15,8.78942067585259e-5
US National,Season onset,Bin,week,15,16,8.795726975907306e-5
US National,Season onset,Bin,week,16,17,8.803722057890707e-5
US National,Season onset,Bin,week,17,18,8.797050524388244e-5
US National,Season onset,Bin,week,18,19,8.798709478801126e-5
US National,Season onset,Bin,week,19,20,8.800528712795681e-5
US National,Season onset,Bin,week,20,21,8.36590590559549e-5
US National,Season onset,Bin,week,none,none,8.797137997771393e-5
US National,Season peak week,Point,week,NA,NA,6
US National,Season peak week,Bin,week,40,41,9.032740337085918e-5
US National,Season peak week,Bin,week,41,42,9.098418796935846e-5
US National,Season peak week,Bin,week,42,43,9.057310295571482e-5
US National,Season peak week,Bin,week,43,44,9.053360941552187e-5
US National,Season peak week,Bin,week,44,45,9.095397685895277e-5
US National,Season peak week,Bin,week,45,46,9.05184281357928e-5
US National,Season peak week,Bin,week,46,47,9.058940705502589e-5
US National,Season peak week,Bin,week,47,48,9.101970578462302e-5
US National,Season peak week,Bin,week,48,49,9.044098917787434e-5
US National,Season peak week,Bin,week,49,50,9.056882838615574e-5
US National,Season peak week,Bin,week,50,51,9.106902108462468e-5
US National,Season peak week,Bin,week,51,52,9.047820625325045e-5
US National,Season peak week,Bin,week,52,53,9.054679874930285e-5
US National,Season peak week,Bin,week,1,2,9.094209025658228e-5
US National,Season peak week,Bin,week,2,3,9.061478248196493e-5
US National,Season peak week,Bin,week,3,4,9.052973428420154e-5
US National,Season peak week,Bin,week,4,5,9.098482700787257e-5
US National,Season peak week,Bin,week,5,6,0.004662396595566592
US National,Season peak week,Bin,week,6,7,0.6568961294687922
US National,Season peak week,Bin,week,7,8,0.2142019431620175
US National,Season peak week,Bin,week,8,9,0.06768254885466257
US National,Season peak week,Bin,week,9,10,0.019368527332473035
US National,Season peak week,Bin,week,10,11,0.015298288001996858
US National,Season peak week,Bin,week,11,12,0.005066199447374868
US National,Season peak week,Bin,week,12,13,7.820751883373048e-4
US National,Season peak week,Bin,week,13,14,0.0027820193758982
US National,Season peak week,Bin,week,14,15,0.0068607287511625835
US National,Season peak week,Bin,week,15,16,0.0034021453229826945
US National,Season peak week,Bin,week,16,17,0.0010903017674730715
US National,Season peak week,Bin,week,17,18,9.356085923766712e-5
US National,Season peak week,Bin,week,18,19,9.060591870445304e-5
US National,Season peak week,Bin,week,19,20,9.103044400310678e-5
US National,Season peak week,Bin,week,20,21,8.982441008966638e-5
US National,Season peak percentage,Point,percent,NA,NA,4.8
US National,Season peak percentage,Bin,percent,0,0.1,2.1413989692932492e-5
US National,Season peak percentage,Bin,percent,0.1,0.2,2.269950274490235e-5
US National,Season peak percentage,Bin,percent,0.2,0.3,2.266253863712862e-5
US National,Season peak percentage,Bin,percent,0.3,0.4,2.2981326667201833e-5
US National,Season peak percentage,Bin,percent,0.4,0.5,2.3007296902204697e-5
US National,Season peak percentage,Bin,percent,0.5,0.6,2.276024876399803e-5
US National,Season peak percentage,Bin,percent,0.6,0.7,2.272224268432945e-5
US National,Season peak percentage,Bin,percent,0.7,0.8,2.269047408762729e-5
US National,Season peak percentage,Bin,percent,0.8,0.9,2.319833996373934e-5
US National,Season peak percentage,Bin,percent,0.9,1,2.2787923375718986e-5
US National,Season peak percentage,Bin,percent,1,1.1,2.2766224128778954e-5
US National,Season peak percentage,Bin,percent,1.1,1.2,2.2733323356426613e-5
US National,Season peak percentage,Bin,percent,1.2,1.3,2.2934922955957535e-5
US National,Season peak percentage,Bin,percent,1.3,1.4,2.304733505811962e-5
US National,Season peak percentage,Bin,percent,1.4,1.5,2.2760722962208683e-5
US National,Season peak percentage,Bin,percent,1.5,1.6,2.2680098914315066e-5
US National,Season peak percentage,Bin,percent,1.6,1.7,2.2604384018205282e-5
US National,Season peak percentage,Bin,percent,1.7,1.8,2.312163369690481e-5
US National,Season peak percentage,Bin,percent,1.8,1.9,2.291279705118937e-5
US National,Season peak percentage,Bin,percent,1.9,2,2.2780563576855616e-5
US National,Season peak percentage,Bin,percent,2,2.1,2.273369713825546e-5
US National,Season peak percentage,Bin,percent,2.1,2.2,2.2868910175187313e-5
US National,Season peak percentage,Bin,percent,2.2,2.3,2.30872788860512e-5
US National,Season peak percentage,Bin,percent,2.3,2.4,2.276102874531131e-5
US National,Season peak percentage,Bin,percent,2.4,2.5,2.2694885078576896e-5
US National,Season peak percentage,Bin,percent,2.5,2.6,2.2707730958197143e-5
US National,Season peak percentage,Bin,percent,2.6,2.7,2.3093096643309116e-5
US National,Season peak percentage,Bin,percent,2.7,2.8,2.2914954982070546e-5
US National,Season peak percentage,Bin,percent,2.8,2.9,2.2740709027778488e-5
US National,Season peak percentage,Bin,percent,2.9,3,2.2664041805080036e-5
US National,Season peak percentage,Bin,percent,3,3.1,2.276581643212166e-5
US National,Season peak percentage,Bin,percent,3.1,3.2,2.3128110870584628e-5
US National,Season peak percentage,Bin,percent,3.2,3.3,2.2816666197419966e-5
US National,Season peak percentage,Bin,percent,3.3,3.4,2.2762964644407623e-5
US National,Season peak percentage,Bin,percent,3.4,3.5,2.2734933643695514e-5
US National,Season peak percentage,Bin,percent,3.5,3.6,2.303326626354635e-5
US National,Season peak percentage,Bin,percent,3.6,3.7,2.2957923260116217e-5
US National,Season peak percentage,Bin,percent,3.7,3.8,2.2741122796475416e-5
US National,Season peak percentage,Bin,percent,3.8,3.9,2.2661354633460847e-5
US National,Season peak percentage,Bin,percent,3.9,4,2.2672213551599888e-5
US National,Season peak percentage,Bin,percent,4,4.1,2.3201471167061618e-5
US National,Season peak percentage,Bin,percent,4.1,4.2,2.282141396620249e-5
US National,Season peak percentage,Bin,percent,4.2,4.3,2.2759522785809956e-5
US National,Season peak percentage,Bin,percent,4.3,4.4,5.662787335986207e-5
US National,Season peak percentage,Bin,percent,4.4,4.5,0.016521446182373226
US National,Season peak percentage,Bin,percent,4.5,4.6,0.08777903262051034
US National,Season peak percentage,Bin,percent,4.6,4.7,0.1217556515770863
US National,Season peak percentage,Bin,percent,4.7,4.8,0.22317120129799803
US National,Season peak percentage,Bin,percent,4.8,4.9,0.21759507850814763
US National,Season peak percentage,Bin,percent,4.9,5,0.2170103441612465
US National,Season peak percentage,Bin,percent,5,5.1,0.0425510559574573
US National,Season peak percentage,Bin,percent,5.1,5.2,0.024404539114766123
US National,Season peak percentage,Bin,percent,5.2,5.3,0.01652422024638898
US National,Season peak percentage,Bin,percent,5.3,5.4,0.010987500743095333
US National,Season peak percentage,Bin,percent,5.4,5.5,0.0044615568989855815
US National,Season peak percentage,Bin,percent,5.5,5.6,0.004192281124551151
US National,Season peak percentage,Bin,percent,5.6,5.7,0.004553654203724124
US National,Season peak percentage,Bin,percent,5.7,5.8,0.002956338809478791
US National,Season peak percentage,Bin,percent,5.8,5.9,0.0017386276067017164
US National,Season peak percentage,Bin,percent,5.9,6,3.336460391400286e-4
US National,Season peak percentage,Bin,percent,6,6.1,7.688188782678387e-4
US National,Season peak percentage,Bin,percent,6.1,6.2,8.435498154879348e-5
US National,Season peak percentage,Bin,percent,6.2,6.3,2.2855607020720002e-5
US National,Season peak percentage,Bin,percent,6.3,6.4,2.31183048215096e-5
US National,Season peak percentage,Bin,percent,6.4,6.5,2.2781918629621113e-5
US National,Season peak percentage,Bin,percent,6.5,6.6,2.2738935983821446e-5
US National,Season peak percentage,Bin,percent,6.6,6.7,2.2695245218772844e-5
US National,Season peak percentage,Bin,percent,6.7,6.8,2.3055520716539036e-5
US National,Season peak percentage,Bin,percent,6.8,6.9,2.29089165073412e-5
US National,Season peak percentage,Bin,percent,6.9,7,2.2770892484112574e-5
US National,Season peak percentage,Bin,percent,7,7.1,2.273799819226318e-5
US National,Season peak percentage,Bin,percent,7.1,7.2,2.2805888100902378e-5
US National,Season peak percentage,Bin,percent,7.2,7.3,2.3154663833522412e-5
