Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,45
US National,Season onset,Bin,week,40,41,3.92042742385682e-5
US National,Season onset,Bin,week,41,42,8.797566078163954e-5
US National,Season onset,Bin,week,42,43,8.797566078178909e-5
US National,Season onset,Bin,week,43,44,8.797566078179295e-5
US National,Season onset,Bin,week,44,45,8.797566078179512e-5
US National,Season onset,Bin,week,45,46,0.9881719471210652
US National,Season onset,Bin,week,46,47,0.004076205616221604
US National,Season onset,Bin,week,47,48,8.797566078191917e-5
US National,Season onset,Bin,week,48,49,0.005073263105081804
US National,Season onset,Bin,week,49,50,8.797566078173313e-5
US National,Season onset,Bin,week,50,51,8.797566078173313e-5
US National,Season onset,Bin,week,51,52,8.797566078173313e-5
US National,Season onset,Bin,week,52,53,8.797566078191917e-5
US National,Season onset,Bin,week,1,2,8.797566078173313e-5
US National,Season onset,Bin,week,2,3,8.797566078173313e-5
US National,Season onset,Bin,week,3,4,8.797566078191917e-5
US National,Season onset,Bin,week,4,5,8.809000226545213e-5
US National,Season onset,Bin,week,5,6,8.797566078173313e-5
US National,Season onset,Bin,week,6,7,8.797566078173313e-5
US National,Season onset,Bin,week,7,8,8.797566078173313e-5
US National,Season onset,Bin,week,8,9,8.797566078173313e-5
US National,Season onset,Bin,week,9,10,8.797566078191917e-5
US National,Season onset,Bin,week,10,11,8.797566078173313e-5
US National,Season onset,Bin,week,11,12,8.797566078173313e-5
US National,Season onset,Bin,week,12,13,8.797566078191917e-5
US National,Season onset,Bin,week,13,14,8.797566078173313e-5
US National,Season onset,Bin,week,14,15,8.797566078173313e-5
US National,Season onset,Bin,week,15,16,8.797566078173313e-5
US National,Season onset,Bin,week,16,17,8.797566078191917e-5
US National,Season onset,Bin,week,17,18,8.797566078173313e-5
US National,Season onset,Bin,week,18,19,8.797566078173313e-5
US National,Season onset,Bin,week,19,20,8.797566078173313e-5
US National,Season onset,Bin,week,20,21,8.797566004171159e-5
US National,Season onset,Bin,week,none,none,8.797137997771393e-5
US National,Season peak week,Point,week,NA,NA,6
US National,Season peak week,Bin,week,40,41,6.894283631454677e-5
US National,Season peak week,Bin,week,41,42,8.8721599360479e-5
US National,Season peak week,Bin,week,42,43,9.060502381487958e-5
US National,Season peak week,Bin,week,43,44,9.064133475708775e-5
US National,Season peak week,Bin,week,44,45,9.064146965360961e-5
US National,Season peak week,Bin,week,45,46,9.06414697389892e-5
US National,Season peak week,Bin,week,46,47,9.064146985387472e-5
US National,Season peak week,Bin,week,47,48,9.064234250391812e-5
US National,Season peak week,Bin,week,48,49,9.177393668021264e-5
US National,Season peak week,Bin,week,49,50,3.633079142944352e-4
US National,Season peak week,Bin,week,50,51,0.012716631951048642
US National,Season peak week,Bin,week,51,52,0.11866803595263067
US National,Season peak week,Bin,week,52,53,0.23930519695798877
US National,Season peak week,Bin,week,1,2,0.10646316915882342
US National,Season peak week,Bin,week,2,3,0.010228485647380057
US National,Season peak week,Bin,week,3,4,4.5192270459835015e-4
US National,Season peak week,Bin,week,4,5,0.0078590554390137
US National,Season peak week,Bin,week,5,6,0.07741376625836902
US National,Season peak week,Bin,week,6,7,0.1968373587661785
US National,Season peak week,Bin,week,7,8,0.1694702424433333
US National,Season peak week,Bin,week,8,9,0.05341432030841036
US National,Season peak week,Bin,week,9,10,0.0049308888270461464
US National,Season peak week,Bin,week,10,11,2.0399664267895762e-4
US National,Season peak week,Bin,week,11,12,9.148801404765483e-5
US National,Season peak week,Bin,week,12,13,9.064364496078896e-5
US National,Season peak week,Bin,week,13,14,9.064147129480323e-5
US National,Season peak week,Bin,week,14,15,9.064146991863225e-5
US National,Season peak week,Bin,week,15,16,9.064146990582182e-5
US National,Season peak week,Bin,week,16,17,9.064146972863187e-5
US National,Season peak week,Bin,week,17,18,9.064125725113119e-5
US National,Season peak week,Bin,week,18,19,9.059042415293811e-5
US National,Season peak week,Bin,week,19,20,8.824245292338468e-5
US National,Season peak week,Bin,week,20,21,6.619787134426846e-5
US National,Season peak percentage,Point,percent,NA,NA,7.1
US National,Season peak percentage,Bin,percent,0,0.1,2.1120820797412955e-5
US National,Season peak percentage,Bin,percent,0.1,0.2,2.308809977357689e-5
US National,Season peak percentage,Bin,percent,0.2,0.3,2.2759233921410474e-5
US National,Season peak percentage,Bin,percent,0.3,0.4,2.269735748885527e-5
US National,Season peak percentage,Bin,percent,0.4,0.5,2.2711276611570786e-5
US National,Season peak percentage,Bin,percent,0.5,0.6,2.3125662996595066e-5
US National,Season peak percentage,Bin,percent,0.6,0.7,2.2863234182476106e-5
US National,Season peak percentage,Bin,percent,0.7,0.8,2.273094601743959e-5
US National,Season peak percentage,Bin,percent,0.8,0.9,2.2698095927434804e-5
US National,Season peak percentage,Bin,percent,0.9,1,2.2885543354995236e-5
US National,Season peak percentage,Bin,percent,1,1.1,2.303324116892584e-5
US National,Season peak percentage,Bin,percent,1.1,1.2,2.279020871869312e-5
US National,Season peak percentage,Bin,percent,1.2,1.3,2.2745419223492665e-5
US National,Season peak percentage,Bin,percent,1.3,1.4,2.2735456721146608e-5
US National,Season peak percentage,Bin,percent,1.4,1.5,2.3185259430061146e-5
US National,Season peak percentage,Bin,percent,1.5,1.6,2.2795231592869645e-5
US National,Season peak percentage,Bin,percent,1.6,1.7,2.2714528409024096e-5
US National,Season peak percentage,Bin,percent,1.7,1.8,2.2649799818902026e-5
US National,Season peak percentage,Bin,percent,1.8,1.9,2.2940840334665802e-5
US National,Season peak percentage,Bin,percent,1.9,2,2.30084358276976e-5
US National,Season peak percentage,Bin,percent,2,2.1,2.278568011461443e-5
US National,Season peak percentage,Bin,percent,2.1,2.2,2.2735203867237285e-5
US National,Season peak percentage,Bin,percent,2.2,2.3,2.277030709235753e-5
US National,Season peak percentage,Bin,percent,2.3,2.4,2.3152178084249097e-5
US National,Season peak percentage,Bin,percent,2.4,2.5,2.2769034575021064e-5
US National,Season peak percentage,Bin,percent,2.5,2.6,2.27179676092675e-5
US National,Season peak percentage,Bin,percent,2.6,2.7,2.272048325854533e-5
US National,Season peak percentage,Bin,percent,2.7,2.8,2.3044584848251976e-5
US National,Season peak percentage,Bin,percent,2.8,2.9,2.29331799123655e-5
US National,Season peak percentage,Bin,percent,2.9,3,2.2740887050272624e-5
US National,Season peak percentage,Bin,percent,3,3.1,2.2673305485509814e-5
US National,Season peak percentage,Bin,percent,3.1,3.2,2.279422308092375e-5
US National,Season peak percentage,Bin,percent,3.2,3.3,2.3108367531770784e-5
US National,Season peak percentage,Bin,percent,3.3,3.4,2.2808306323779286e-5
US National,Season peak percentage,Bin,percent,3.4,3.5,2.2753360375559954e-5
US National,Season peak percentage,Bin,percent,3.5,3.6,2.2735875120853108e-5
US National,Season peak percentage,Bin,percent,3.6,3.7,2.3106232728450554e-5
US National,Season peak percentage,Bin,percent,3.7,3.8,2.2867209284374475e-5
US National,Season peak percentage,Bin,percent,3.8,3.9,2.2724488414251437e-5
US National,Season peak percentage,Bin,percent,3.9,4,2.265819108090101e-5
US National,Season peak percentage,Bin,percent,4,4.1,2.28761393356209e-5
US National,Season peak percentage,Bin,percent,4.1,4.2,2.306523830276332e-5
US National,Season peak percentage,Bin,percent,4.2,4.3,2.2787117550885588e-5
US National,Season peak percentage,Bin,percent,4.3,4.4,2.2733335573542746e-5
US National,Season peak percentage,Bin,percent,4.4,4.5,2.2712318084716023e-5
US National,Season peak percentage,Bin,percent,4.5,4.6,2.3166083630954502e-5
US National,Season peak percentage,Bin,percent,4.6,4.7,2.2799736302622798e-5
US National,Season peak percentage,Bin,percent,4.7,4.8,2.273905806241852e-5
US National,Season peak percentage,Bin,percent,4.8,4.9,2.27284845184653e-5
US National,Season peak percentage,Bin,percent,4.9,5,2.2967063666646616e-5
US National,Season peak percentage,Bin,percent,5,5.1,2.3000381260085304e-5
US National,Season peak percentage,Bin,percent,5.1,5.2,2.275081428434923e-5
US National,Season peak percentage,Bin,percent,5.2,5.3,2.268142296497307e-5
US National,Season peak percentage,Bin,percent,5.3,5.4,2.266006959050705e-5
US National,Season peak percentage,Bin,percent,5.4,5.5,2.3190189267029986e-5
US National,Season peak percentage,Bin,percent,5.5,5.6,2.2821815967968473e-5
US National,Season peak percentage,Bin,percent,5.6,5.7,2.2760486563156064e-5
US National,Season peak percentage,Bin,percent,5.7,5.8,2.2735231690180945e-5
US National,Season peak percentage,Bin,percent,5.8,5.9,2.3027711389725334e-5
US National,Season peak percentage,Bin,percent,5.9,6,2.293683028133853e-5
US National,Season peak percentage,Bin,percent,6,6.1,2.2734414623485982e-5
US National,Season peak percentage,Bin,percent,6.1,6.2,2.2673769850063172e-5
US National,Season peak percentage,Bin,percent,6.2,6.3,2.2807260123008254e-5
US National,Season peak percentage,Bin,percent,6.3,6.4,2.312756640937218e-5
US National,Season peak percentage,Bin,percent,6.4,6.5,2.2776882087666913e-5
US National,Season peak percentage,Bin,percent,6.5,6.6,2.273682287829667e-5
US National,Season peak percentage,Bin,percent,6.6,6.7,2.2703322517987522e-5
US National,Season peak percentage,Bin,percent,6.7,6.8,2.9996395014914708e-5
US National,Season peak percentage,Bin,percent,6.8,6.9,0.002133948707876559
US National,Season peak percentage,Bin,percent,6.9,7,0.032795622113579184
US National,Season peak percentage,Bin,percent,7,7.1,0.18010565151725494
