Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,47.00000000000073
US National,Season onset,Bin,week,40,41,9.985960034827384e-4
US National,Season onset,Bin,week,41,42,0.0011705064636841037
US National,Season onset,Bin,week,42,43,0.0013022483129426475
US National,Season onset,Bin,week,43,44,0.0018773831391591031
US National,Season onset,Bin,week,44,45,0.004524925605067033
US National,Season onset,Bin,week,45,46,0.01176730776654631
US National,Season onset,Bin,week,46,47,0.022286571336180193
US National,Season onset,Bin,week,47,48,0.8903993496187755
US National,Season onset,Bin,week,48,49,0.02151142306091369
US National,Season onset,Bin,week,49,50,0.011004767553336445
US National,Season onset,Bin,week,50,51,0.004175960171571092
US National,Season onset,Bin,week,51,52,0.001792940248761232
US National,Season onset,Bin,week,52,53,0.0013119049286544045
US National,Season onset,Bin,week,1,2,0.0012535106342251958
US National,Season onset,Bin,week,2,3,0.0012490763480075304
US National,Season onset,Bin,week,3,4,0.0012487447719892427
US National,Season onset,Bin,week,4,5,0.001248771129735818
US National,Season onset,Bin,week,5,6,0.0012486636717610228
US National,Season onset,Bin,week,6,7,0.0012487233758471002
US National,Season onset,Bin,week,7,8,0.001248764402517247
US National,Season onset,Bin,week,8,9,0.0012487105084022735
US National,Season onset,Bin,week,9,10,0.0012485909172612103
US National,Season onset,Bin,week,10,11,0.0012484920197905745
US National,Season onset,Bin,week,11,12,0.0012484591906334703
US National,Season onset,Bin,week,12,13,0.001248501540039338
US National,Season onset,Bin,week,13,14,0.0012485903999247254
US National,Season onset,Bin,week,14,15,0.0012486266962080119
US National,Season onset,Bin,week,15,16,0.001248517082430067
US National,Season onset,Bin,week,16,17,0.001247928635387994
US National,Season onset,Bin,week,17,18,0.001243882905881307
US National,Season onset,Bin,week,18,19,0.0012232554100740207
US National,Season onset,Bin,week,19,20,0.0011570723973865075
US National,Season onset,Bin,week,20,21,0.0010242334741078093
US National,Season onset,Bin,week,none,none,0.0012450002793150694
US National,Season peak week,Point,week,NA,NA,52.00000000000862
US National,Season peak week,Bin,week,40,41,8.46323542386756e-4
US National,Season peak week,Bin,week,41,42,9.5073034821108e-4
US National,Season peak week,Bin,week,42,43,0.0010685798645895877
US National,Season peak week,Bin,week,43,44,0.0012408198198148002
US National,Season peak week,Bin,week,44,45,0.0014837754109715616
US National,Season peak week,Bin,week,45,46,0.0018081615071872913
US National,Season peak week,Bin,week,46,47,0.002212296092205808
US National,Season peak week,Bin,week,47,48,0.002673300837335239
US National,Season peak week,Bin,week,48,49,0.0031501739169522594
US National,Season peak week,Bin,week,49,50,0.0035863434166146946
US National,Season peak week,Bin,week,50,51,0.003922937360899531
US National,Season peak week,Bin,week,51,52,0.02180559402423016
US National,Season peak week,Bin,week,52,53,0.8798597287938332
US National,Season peak week,Bin,week,1,2,0.005299218430329853
US National,Season peak week,Bin,week,2,3,0.0037442703593202095
US National,Season peak week,Bin,week,3,4,0.004201240856362525
US National,Season peak week,Bin,week,4,5,0.0030803409687090244
US National,Season peak week,Bin,week,5,6,0.0027548503931330522
US National,Season peak week,Bin,week,6,7,0.007873976188834914
US National,Season peak week,Bin,week,7,8,0.03263488120640543
US National,Season peak week,Bin,week,8,9,0.001976851018967488
US National,Season peak week,Bin,week,9,10,0.001961021639338712
US National,Season peak week,Bin,week,10,11,0.0015822577477912182
US National,Season peak week,Bin,week,11,12,0.001415437083601258
US National,Season peak week,Bin,week,12,13,0.0012724481503695888
US National,Season peak week,Bin,week,13,14,0.001155627844061218
US National,Season peak week,Bin,week,14,15,0.0010646050736431434
US National,Season peak week,Bin,week,15,16,9.960188575298763e-4
US National,Season peak week,Bin,week,16,17,9.448435401083222e-4
US National,Season peak week,Bin,week,17,18,9.051988344282891e-4
US National,Season peak week,Bin,week,18,19,8.721367757291355e-4
US National,Season peak week,Bin,week,19,20,8.422736196197646e-4
US National,Season peak week,Bin,week,20,21,8.137364764850407e-4
US National,Season peak percentage,Point,percent,NA,NA,5.7538983923340785
US National,Season peak percentage,Bin,percent,0,0.1,4.0480597233604745e-4
US National,Season peak percentage,Bin,percent,0.1,0.2,4.3247294977019233e-4
US National,Season peak percentage,Bin,percent,0.2,0.3,4.542511121376839e-4
US National,Season peak percentage,Bin,percent,0.3,0.4,4.750334104578924e-4
US National,Season peak percentage,Bin,percent,0.4,0.5,4.946564198355792e-4
US National,Season peak percentage,Bin,percent,0.5,0.6,5.126417571704997e-4
US National,Season peak percentage,Bin,percent,0.6,0.7,5.283484501840054e-4
US National,Season peak percentage,Bin,percent,0.7,0.8,5.425764731313336e-4
US National,Season peak percentage,Bin,percent,0.8,0.9,5.550863630958424e-4
US National,Season peak percentage,Bin,percent,0.9,1,5.654889367636158e-4
US National,Season peak percentage,Bin,percent,1,1.1,5.741108846295738e-4
US National,Season peak percentage,Bin,percent,1.1,1.2,5.813884157885237e-4
US National,Season peak percentage,Bin,percent,1.2,1.3,5.875121915186578e-4
US National,Season peak percentage,Bin,percent,1.3,1.4,5.918150586955426e-4
US National,Season peak percentage,Bin,percent,1.4,1.5,5.95415676285172e-4
US National,Season peak percentage,Bin,percent,1.5,1.6,5.98340715291267e-4
US National,Season peak percentage,Bin,percent,1.6,1.7,6.006089505327028e-4
US National,Season peak percentage,Bin,percent,1.7,1.8,6.020499633182548e-4
US National,Season peak percentage,Bin,percent,1.8,1.9,6.035204894335406e-4
US National,Season peak percentage,Bin,percent,1.9,2,6.050556300552768e-4
US National,Season peak percentage,Bin,percent,2,2.1,6.065412856358928e-4
US National,Season peak percentage,Bin,percent,2.1,2.2,6.084818333991665e-4
US National,Season peak percentage,Bin,percent,2.2,2.3,6.116057861175386e-4
US National,Season peak percentage,Bin,percent,2.3,2.4,6.165853231228258e-4
US National,Season peak percentage,Bin,percent,2.4,2.5,6.235669946505596e-4
US National,Season peak percentage,Bin,percent,2.5,2.6,6.348658110417157e-4
US National,Season peak percentage,Bin,percent,2.6,2.7,6.519447605979563e-4
US National,Season peak percentage,Bin,percent,2.7,2.8,6.774490426091556e-4
US National,Season peak percentage,Bin,percent,2.8,2.9,7.142736895098689e-4
US National,Season peak percentage,Bin,percent,2.9,3,7.6738903549861e-4
US National,Season peak percentage,Bin,percent,3,3.1,8.42018754314236e-4
US National,Season peak percentage,Bin,percent,3.1,3.2,9.442986416731389e-4
US National,Season peak percentage,Bin,percent,3.2,3.3,0.0010824178369654939
US National,Season peak percentage,Bin,percent,3.3,3.4,0.0012646563110713846
US National,Season peak percentage,Bin,percent,3.4,3.5,0.0015011738168742093
US National,Season peak percentage,Bin,percent,3.5,3.6,0.0018006840791909293
US National,Season peak percentage,Bin,percent,3.6,3.7,0.0021709479261474724
US National,Season peak percentage,Bin,percent,3.7,3.8,0.0026191887620257885
US National,Season peak percentage,Bin,percent,3.8,3.9,0.0031490731895296243
US National,Season peak percentage,Bin,percent,3.9,4,0.003761977400772309
US National,Season peak percentage,Bin,percent,4,4.1,0.004454323649649427
US National,Season peak percentage,Bin,percent,4.1,4.2,0.005216672083287574
US National,Season peak percentage,Bin,percent,4.2,4.3,0.0060340857204218765
US National,Season peak percentage,Bin,percent,4.3,4.4,0.006887367689597954
US National,Season peak percentage,Bin,percent,4.4,4.5,0.007751740471906681
US National,Season peak percentage,Bin,percent,4.5,4.6,0.008599343543611537
US National,Season peak percentage,Bin,percent,4.6,4.7,0.00940089711340803
US National,Season peak percentage,Bin,percent,4.7,4.8,0.010172725335603958
US National,Season peak percentage,Bin,percent,4.8,4.9,0.011963616069773262
US National,Season peak percentage,Bin,percent,4.9,5,0.039109261129368085
US National,Season peak percentage,Bin,percent,5,5.1,0.08215984981584755
US National,Season peak percentage,Bin,percent,5.1,5.2,0.028799899800294015
US National,Season peak percentage,Bin,percent,5.2,5.3,0.015613364480582575
US National,Season peak percentage,Bin,percent,5.3,5.4,0.017342107107764033
US National,Season peak percentage,Bin,percent,5.4,5.5,0.02211313330068321
US National,Season peak percentage,Bin,percent,5.5,5.6,0.03102133858524646
