Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,,,45.0
US National,Season onset,Bin,week,40,41,0.0
US National,Season onset,Bin,week,41,42,0.0
US National,Season onset,Bin,week,42,43,0.0
US National,Season onset,Bin,week,43,44,0.07257242959495992
US National,Season onset,Bin,week,44,45,0.12438995708143641
US National,Season onset,Bin,week,45,46,0.1802106749473337
US National,Season onset,Bin,week,46,47,0.1446886429662235
US National,Season onset,Bin,week,47,48,0.12200064063192989
US National,Season onset,Bin,week,48,49,0.06747098333788513
US National,Season onset,Bin,week,49,50,0.04012911762122624
US National,Season onset,Bin,week,50,51,0.023065665552156802
US National,Season onset,Bin,week,51,52,0.04047466104045592
US National,Season onset,Bin,week,52,53,0.034384667848464785
US National,Season onset,Bin,week,1,2,0.022409936464894187
US National,Season onset,Bin,week,2,3,0.004231023137286923
US National,Season onset,Bin,week,3,4,0.001692391471599719
US National,Season onset,Bin,week,4,5,0.003032808411857203
US National,Season onset,Bin,week,5,6,0.0033736928272483993
US National,Season onset,Bin,week,6,7,0.002725835097125809
US National,Season onset,Bin,week,7,8,0.001437954501457249
US National,Season onset,Bin,week,8,9,0.0005875972377352953
US National,Season onset,Bin,week,9,10,0.00015554792834542364
US National,Season onset,Bin,week,10,11,1.166988421362075e-05
US National,Season onset,Bin,week,11,12,0.0
US National,Season onset,Bin,week,12,13,0.0
US National,Season onset,Bin,week,13,14,0.0
US National,Season onset,Bin,week,14,15,0.0
US National,Season onset,Bin,week,15,16,0.0
US National,Season onset,Bin,week,16,17,0.0
US National,Season onset,Bin,week,17,18,0.0
US National,Season onset,Bin,week,18,19,0.0
US National,Season onset,Bin,week,19,20,0.0
US National,Season onset,Bin,week,20,21,0.0
US National,Season onset,Bin,week,none,none,0.1109541024161639
US National,Season peak week,Point,week,,,52.0
US National,Season peak week,Bin,week,40,41,0.0
US National,Season peak week,Bin,week,41,42,0.0
US National,Season peak week,Bin,week,42,43,0.0
US National,Season peak week,Bin,week,43,44,0.0
US National,Season peak week,Bin,week,44,45,0.0
US National,Season peak week,Bin,week,45,46,4.432472293018015e-07
US National,Season peak week,Bin,week,46,47,4.432472293018015e-07
US National,Season peak week,Bin,week,47,48,0.10633953728079894
US National,Season peak week,Bin,week,48,49,0.1170060725153285
US National,Season peak week,Bin,week,49,50,0.13895116758429668
US National,Season peak week,Bin,week,50,51,0.03517389003464599
US National,Season peak week,Bin,week,51,52,0.14847275523336886
US National,Season peak week,Bin,week,52,53,0.17599847111495448
US National,Season peak week,Bin,week,1,2,0.17562554999237287
US National,Season peak week,Bin,week,2,3,0.05405890706551132
US National,Season peak week,Bin,week,3,4,0.0065518037063180025
US National,Season peak week,Bin,week,4,5,0.007750328068538616
US National,Season peak week,Bin,week,5,6,0.00847862754498817
US National,Season peak week,Bin,week,6,7,0.009111998796662359
US National,Season peak week,Bin,week,7,8,0.007540393384691142
US National,Season peak week,Bin,week,8,9,0.005316527726907212
US National,Season peak week,Bin,week,9,10,0.002719448883872539
US National,Season peak week,Bin,week,10,11,0.0009036345722858082
US National,Season peak week,Bin,week,11,12,0.0
US National,Season peak week,Bin,week,12,13,0.0
US National,Season peak week,Bin,week,13,14,0.0
US National,Season peak week,Bin,week,14,15,0.0
US National,Season peak week,Bin,week,15,16,0.0
US National,Season peak week,Bin,week,16,17,0.0
US National,Season peak week,Bin,week,17,18,0.0
US National,Season peak week,Bin,week,18,19,0.0
US National,Season peak week,Bin,week,19,20,0.0
US National,Season peak week,Bin,week,20,21,0.0
US National,Season peak percentage,Point,percent,,,6.144334788021184
US National,Season peak percentage,Bin,percent,0,0.1,0.0
US National,Season peak percentage,Bin,percent,0.1,0.2,0.0
US National,Season peak percentage,Bin,percent,0.2,0.3,0.0
US National,Season peak percentage,Bin,percent,0.3,0.4,0.0
US National,Season peak percentage,Bin,percent,0.4,0.5,0.0
US National,Season peak percentage,Bin,percent,0.5,0.6,0.0
US National,Season peak percentage,Bin,percent,0.6,0.7,0.0
US National,Season peak percentage,Bin,percent,0.7,0.8,0.0
US National,Season peak percentage,Bin,percent,0.8,0.9,0.0
US National,Season peak percentage,Bin,percent,0.9,1,0.0
US National,Season peak percentage,Bin,percent,1,1.1,0.0
US National,Season peak percentage,Bin,percent,1.1,1.2,0.0
US National,Season peak percentage,Bin,percent,1.2,1.3,0.0006402549038044666
US National,Season peak percentage,Bin,percent,1.3,1.4,0.0011681595084606135
US National,Season peak percentage,Bin,percent,1.4,1.5,0.0015922605260988635
US National,Season peak percentage,Bin,percent,1.5,1.6,0.001916052448438017
US National,Season peak percentage,Bin,percent,1.6,1.7,0.0021631425042424016
US National,Season peak percentage,Bin,percent,1.7,1.8,0.0024191596352880693
US National,Season peak percentage,Bin,percent,1.8,1.9,0.002664909947370769
US National,Season peak percentage,Bin,percent,1.9,2,0.0029979469058666664
US National,Season peak percentage,Bin,percent,2,2.1,0.00362640318904097
US National,Season peak percentage,Bin,percent,2.1,2.2,0.0040314941933098725
US National,Season peak percentage,Bin,percent,2.2,2.3,0.004627008098128236
US National,Season peak percentage,Bin,percent,2.3,2.4,0.0046700045863187
US National,Season peak percentage,Bin,percent,2.4,2.5,0.004988538892973672
US National,Season peak percentage,Bin,percent,2.5,2.6,0.005145188563984258
US National,Season peak percentage,Bin,percent,2.6,2.7,0.005925265830058089
US National,Season peak percentage,Bin,percent,2.7,2.8,0.006752841636756182
US National,Season peak percentage,Bin,percent,2.8,2.9,0.00755978966385405
US National,Season peak percentage,Bin,percent,2.9,3,0.008288717895081111
US National,Season peak percentage,Bin,percent,3,3.1,0.009060422238333228
US National,Season peak percentage,Bin,percent,3.1,3.2,0.009410332919933493
