"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,49
"US National","Season onset","Bin","week","40.0","41.0",0.000184361456715945
"US National","Season onset","Bin","week","41.0","42.0",0.000184361456715945
"US National","Season onset","Bin","week","42.0","43.0",0.000184361456715945
"US National","Season onset","Bin","week","43.0","44.0",0.000184361456715945
"US National","Season onset","Bin","week","44.0","45.0",0.000184361456715945
"US National","Season onset","Bin","week","45.0","46.0",0.0291897252569683
"US National","Season onset","Bin","week","46.0","47.0",0.169547872687641
"US National","Season onset","Bin","week","47.0","48.0",0.146999182336075
"US National","Season onset","Bin","week","48.0","49.0",0.0659430971956441
"US National","Season onset","Bin","week","49.0","50.0",0.122861156981756
"US National","Season onset","Bin","week","50.0","51.0",0.162296531737578
"US National","Season onset","Bin","week","51.0","52.0",0.131900499809916
"US National","Season onset","Bin","week","52.0","53.0",0.0263090555644774
"US National","Season onset","Bin","week","1.0","2.0",0.00286636427386256
"US National","Season onset","Bin","week","2.0","3.0",0.0113097064759908
"US National","Season onset","Bin","week","3.0","4.0",0.0226337183706099
"US National","Season onset","Bin","week","4.0","5.0",0.0263090555644774
"US National","Season onset","Bin","week","5.0","6.0",0.0154817108582189
"US National","Season onset","Bin","week","6.0","7.0",0.0082303699081558
"US National","Season onset","Bin","week","7.0","8.0",0.00395903208825563
"US National","Season onset","Bin","week","8.0","9.0",0.00117769583343691
"US National","Season onset","Bin","week","9.0","10.0",0.000780362082748526
"US National","Season onset","Bin","week","10.0","11.0",0.000681028645076429
"US National","Season onset","Bin","week","11.0","12.0",0.000482361769732235
"US National","Season onset","Bin","week","12.0","13.0",0.000283694894388042
"US National","Season onset","Bin","week","13.0","14.0",0.000383028332060138
"US National","Season onset","Bin","week","14.0","15.0",0.000184361456715945
"US National","Season onset","Bin","week","15.0","16.0",0.000184361456715945
"US National","Season onset","Bin","week","16.0","17.0",0.000184361456715945
"US National","Season onset","Bin","week","17.0","18.0",0.000184361456715945
"US National","Season onset","Bin","week","18.0","19.0",0.000184361456715945
"US National","Season onset","Bin","week","19.0","20.0",0.000184361456715945
"US National","Season onset","Bin","week","20.0","21.0",0.000184361456715945
"US National","Season onset","Bin","week","none","none",0.0481624118523388
"US National","Season peak week","Point","week",NA,NA,4
"US National","Season peak week","Bin","week","40.0","41.0",0.000184361456715945
"US National","Season peak week","Bin","week","41.0","42.0",0.000184361456715945
"US National","Season peak week","Bin","week","42.0","43.0",0.000184361456715945
"US National","Season peak week","Bin","week","43.0","44.0",0.000184361456715945
"US National","Season peak week","Bin","week","44.0","45.0",0.00114745842563879
"US National","Season peak week","Bin","week","45.0","46.0",0.00158522977514917
"US National","Season peak week","Bin","week","46.0","47.0",0.00167278404505125
"US National","Season peak week","Bin","week","47.0","48.0",0.00307365236348447
"US National","Season peak week","Bin","week","48.0","49.0",0.00132256696544294
"US National","Season peak week","Bin","week","49.0","50.0",0.000884795615932558
"US National","Season peak week","Bin","week","50.0","51.0",0.00429941214211355
"US National","Season peak week","Bin","week","51.0","52.0",0.0377451432447068
"US National","Season peak week","Bin","week","52.0","53.0",0.26258450835324
"US National","Season peak week","Bin","week","1.0","2.0",0.0474636672038373
"US National","Season peak week","Bin","week","2.0","3.0",0.00946511406633607
"US National","Season peak week","Bin","week","3.0","4.0",0.0234737972506683
"US National","Season peak week","Bin","week","4.0","5.0",0.0675135950114129
"US National","Season peak week","Bin","week","5.0","6.0",0.128714029672964
"US National","Season peak week","Bin","week","6.0","7.0",0.159533132678495
"US National","Season peak week","Bin","week","7.0","8.0",0.1302024522613
"US National","Season peak week","Bin","week","8.0","9.0",0.071103320077398
"US National","Season peak week","Bin","week","9.0","10.0",0.0223355917419413
"US National","Season peak week","Bin","week","10.0","11.0",0.0115664165439859
"US National","Season peak week","Bin","week","11.0","12.0",0.00806424574790284
"US National","Season peak week","Bin","week","12.0","13.0",0.00281098955377824
"US National","Season peak week","Bin","week","13.0","14.0",0.00105990415573671
"US National","Season peak week","Bin","week","14.0","15.0",0.000184361456715945
"US National","Season peak week","Bin","week","15.0","16.0",0.000359469996520098
"US National","Season peak week","Bin","week","16.0","17.0",0.000271915726618021
"US National","Season peak week","Bin","week","17.0","18.0",0.000271915726618021
"US National","Season peak week","Bin","week","18.0","19.0",0.000184361456715945
"US National","Season peak week","Bin","week","19.0","20.0",0.000184361456715945
"US National","Season peak week","Bin","week","20.0","21.0",0.000184361456715945
"US National","Season peak percentage","Point","percent",NA,NA,4.7
"US National","Season peak percentage","Bin","percent","0.0","0.1",5.02803972861667e-05
