"Location","Target","Type","Unit","Bin_start_incl","Bin_end_notincl","Value"
"US National","Season onset","Point","week",NA,NA,48
"US National","Season onset","Bin","week","40.0","41.0",0.00150343919297757
"US National","Season onset","Bin","week","41.0","42.0",0.00150343919297757
"US National","Season onset","Bin","week","42.0","43.0",0.00150343919297757
"US National","Season onset","Bin","week","43.0","44.0",0.00150343919297757
"US National","Season onset","Bin","week","44.0","45.0",0.00150343919297757
"US National","Season onset","Bin","week","45.0","46.0",0.101510595651309
"US National","Season onset","Bin","week","46.0","47.0",0.294889362641826
"US National","Season onset","Bin","week","47.0","48.0",0.133029438800498
"US National","Season onset","Bin","week","48.0","49.0",0.0685698498036593
"US National","Season onset","Bin","week","49.0","50.0",0.114781687503599
"US National","Season onset","Bin","week","50.0","51.0",0.118099460466672
"US National","Season onset","Bin","week","51.0","52.0",0.0692808011528892
"US National","Season onset","Bin","week","52.0","53.0",0.0145375472621913
"US National","Season onset","Bin","week","1.0","2.0",0.00292534189143726
"US National","Season onset","Bin","week","2.0","3.0",0.00482121215605017
"US National","Season onset","Bin","week","3.0","4.0",0.00884993646835261
"US National","Season onset","Bin","week","4.0","5.0",0.00908692025142922
"US National","Season onset","Bin","week","5.0","6.0",0.00766501755296954
"US National","Season onset","Bin","week","6.0","7.0",0.0036362932406671
"US National","Season onset","Bin","week","7.0","8.0",0.00245137432528403
"US National","Season onset","Bin","week","8.0","9.0",0.00174042297605419
"US National","Season onset","Bin","week","9.0","10.0",0.00174042297605419
"US National","Season onset","Bin","week","10.0","11.0",0.00150343919297757
"US National","Season onset","Bin","week","11.0","12.0",0.00174042297605419
"US National","Season onset","Bin","week","12.0","13.0",0.00150343919297757
"US National","Season onset","Bin","week","13.0","14.0",0.00150343919297757
"US National","Season onset","Bin","week","14.0","15.0",0.00150343919297757
"US National","Season onset","Bin","week","15.0","16.0",0.00150343919297757
"US National","Season onset","Bin","week","16.0","17.0",0.00150343919297757
"US National","Season onset","Bin","week","17.0","18.0",0.00150343919297757
"US National","Season onset","Bin","week","18.0","19.0",0.00150343919297757
"US National","Season onset","Bin","week","19.0","20.0",0.00150343919297757
"US National","Season onset","Bin","week","20.0","21.0",0.00150343919297757
"US National","Season onset","Bin","week","none","none",0.0180923040083406
"US National","Season peak week","Point","week",NA,NA,3
"US National","Season peak week","Bin","week","40.0","41.0",0.00150343919297757
"US National","Season peak week","Bin","week","41.0","42.0",0.00150343919297757
"US National","Season peak week","Bin","week","42.0","43.0",0.00150343919297757
"US National","Season peak week","Bin","week","43.0","44.0",0.00150343919297757
"US National","Season peak week","Bin","week","44.0","45.0",0.00150343919297757
"US National","Season peak week","Bin","week","45.0","46.0",0.00236390683139472
"US National","Season peak week","Bin","week","46.0","47.0",0.00322437446981187
"US National","Season peak week","Bin","week","47.0","48.0",0.00752671266189761
"US National","Season peak week","Bin","week","48.0","49.0",0.00473019283704188
"US National","Season peak week","Bin","week","49.0","50.0",0.0042999590178333
"US National","Season peak week","Bin","week","50.0","51.0",0.00946276484833619
"US National","Season peak week","Bin","week","51.0","52.0",0.0524861467691936
"US National","Season peak week","Bin","week","52.0","53.0",0.326975323424264
"US National","Season peak week","Bin","week","1.0","2.0",0.0546373158652365
"US National","Season peak week","Bin","week","2.0","3.0",0.00881741411952333
"US National","Season peak week","Bin","week","3.0","4.0",0.0189279088709248
"US National","Season peak week","Bin","week","4.0","5.0",0.0574338356900922
"US National","Season peak week","Bin","week","5.0","6.0",0.106910724899078
"US National","Season peak week","Bin","week","6.0","7.0",0.141544547345368
"US National","Season peak week","Bin","week","7.0","8.0",0.108416543266308
"US National","Season peak week","Bin","week","8.0","9.0",0.0471082240290864
"US National","Season peak week","Bin","week","9.0","10.0",0.0109685832155662
"US National","Season peak week","Bin","week","10.0","11.0",0.00752671266189761
"US National","Season peak week","Bin","week","11.0","12.0",0.00408484210822902
"US National","Season peak week","Bin","week","12.0","13.0",0.00193367301218615
"US National","Season peak week","Bin","week","13.0","14.0",0.00236390683139472
"US National","Season peak week","Bin","week","14.0","15.0",0.00150343919297757
"US National","Season peak week","Bin","week","15.0","16.0",0.00171855610258186
"US National","Season peak week","Bin","week","16.0","17.0",0.00150343919297757
"US National","Season peak week","Bin","week","17.0","18.0",0.00150343919297757
"US National","Season peak week","Bin","week","18.0","19.0",0.00150343919297757
"US National","Season peak week","Bin","week","19.0","20.0",0.00150343919297757
"US National","Season peak week","Bin","week","20.0","21.0",0.00150343919297757
"US National","Season peak percentage","Point","percent",NA,NA,5.3
"US National","Season peak percentage","Bin","percent","0.0","0.1",0.000553084370147834
"US National","Season peak percentage","Bin","percent","0.1","0.2",0.000553084370147834
"US National","Season peak percentage","Bin","percent","0.2","0.3",0.000553084370147834
"US National","Season peak percentage","Bin","percent","0.3","0.4",0.000553084370147834
"US National","Season peak percentage","Bin","percent","0.4","0.5",0.000553084370147834
"US National","Season peak percentage","Bin","percent","0.5","0.6",0.000553084370147834
"US National","Season peak percentage","Bin","percent","0.6","0.7",0.000553084370147834
"US National","Season peak percentage","Bin","percent","0.7","0.8",0.000553084370147834
"US National","Season peak percentage","Bin","percent","0.8","0.9",0.000553084370147834
"US National","Season peak percentage","Bin","percent","0.9","1.0",0.000553084370147834
"US National","Season peak percentage","Bin","percent","1.0","1.1",0.000553084370147834
"US National","Season peak percentage","Bin","percent","1.1","1.2",0.000553084370147834
"US National","Season peak percentage","Bin","percent","1.2","1.3",0.000553084370147834
"US National","Season peak percentage","Bin","percent","1.3","1.4",0.000553084370147834
"US National","Season peak percentage","Bin","percent","1.4","1.5",0.000553084370147834
"US National","Season peak percentage","Bin","percent","1.5","1.6",0.000553084370147834
"US National","Season peak percentage","Bin","percent","1.6","1.7",0.000553084370147834
"US National","Season peak percentage","Bin","percent","1.7","1.8",0.000553084370147834
"US National","Season peak percentage","Bin","percent","1.8","1.9",0.000553084370147834
"US National","Season peak percentage","Bin","percent","1.9","2.0",0.000553084370147834
"US National","Season peak percentage","Bin","percent","2.0","2.1",0.000553084370147834
"US National","Season peak percentage","Bin","percent","2.1","2.2",0.000784739202193446
"US National","Season peak percentage","Bin","percent","2.2","2.3",0.00124804886628467
"US National","Season peak percentage","Bin","percent","2.3","2.4",0.000553084370147834
"US National","Season peak percentage","Bin","percent","2.4","2.5",0.00101639403423906
"US National","Season peak percentage","Bin","percent","2.5","2.6",0.00240632302651274
"US National","Season peak percentage","Bin","percent","2.6","2.7",0.00240632302651274
"US National","Season peak percentage","Bin","percent","2.7","2.8",0.00310128752264957
"US National","Season peak percentage","Bin","percent","2.8","2.9",0.00310128752264957
"US National","Season peak percentage","Bin","percent","2.9","3.0",0.00472287134696887
"US National","Season peak percentage","Bin","percent","3.0","3.1",0.00564949067515132
"US National","Season peak percentage","Bin","percent","3.1","3.2",0.00958762281992673
"US National","Season peak percentage","Bin","percent","3.2","3.3",0.0105142421481092
"US National","Season peak percentage","Bin","percent","3.3","3.4",0.0135257549647022
"US National","Season peak percentage","Bin","percent","3.4","3.5",0.0156106484531127
"US National","Season peak percentage","Bin","percent","3.5","3.6",0.0156106484531127
"US National","Season peak percentage","Bin","percent","3.6","3.7",0.0167689226133407
"US National","Season peak percentage","Bin","percent","3.7","3.8",0.0204753999260705
"US National","Season peak percentage","Bin","percent","3.8","3.9",0.0232552579106179
"US National","Season peak percentage","Bin","percent","3.9","4.0",0.0211703644222074
"US National","Season peak percentage","Bin","percent","4.0","4.1",0.0195487805978881
"US National","Season peak percentage","Bin","percent","4.1","4.2",0.028583319047667
"US National","Season peak percentage","Bin","percent","4.2","4.3",0.0248768417349372
"US National","Season peak percentage","Bin","percent","4.3","4.4",0.0262667707272109
"US National","Season peak percentage","Bin","percent","4.4","4.5",0.0290466287117582
"US National","Season peak percentage","Bin","percent","4.5","4.6",0.0281200093835758
"US National","Season peak percentage","Bin","percent","4.6","4.7",0.025571806231074
"US National","Season peak percentage","Bin","percent","4.7","4.8",0.0264984255592565
"US National","Season peak percentage","Bin","percent","4.8","4.9",0.0329847608565336
"US National","Season peak percentage","Bin","percent","4.9","5.0",0.0237185675747091
"US National","Season peak percentage","Bin","percent","5.0","5.1",0.0274250448874389
"US National","Season peak percentage","Bin","percent","5.1","5.2",0.0239502224067547
"US National","Season peak percentage","Bin","percent","5.2","5.3",0.0325214511924424
"US National","Season peak percentage","Bin","percent","5.3","5.4",0.0302049028719863
"US National","Season peak percentage","Bin","percent","5.4","5.5",0.0292782835438038
"US National","Season peak percentage","Bin","percent","5.5","5.6",0.024413532070846
"US National","Season peak percentage","Bin","percent","5.6","5.7",0.0260351158951652
"US National","Season peak percentage","Bin","percent","5.7","5.8",0.0207070547581162
"US National","Season peak percentage","Bin","percent","5.8","5.9",0.0193171257658425
"US National","Season peak percentage","Bin","percent","5.9","6.0",0.0195487805978881
"US National","Season peak percentage","Bin","percent","6.0","6.1",0.0158423032851583
"US National","Season peak percentage","Bin","percent","6.1","6.2",0.0218653289183442
"US National","Season peak percentage","Bin","percent","6.2","6.3",0.0153789936210671
