Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
HHS Region 1,1 wk ahead,Point,percent,NA,NA, 0.80000000000000004440892099
HHS Region 1,2 wk ahead,Point,percent,NA,NA, 0.80000000000000004440892099
HHS Region 1,3 wk ahead,Point,percent,NA,NA, 0.80000000000000004440892099
HHS Region 1,4 wk ahead,Point,percent,NA,NA, 0.90000000000000002220446049
HHS Region 1,Season onset,Point,week,NA,NA,51.00000000000000000000000000
HHS Region 1,Season peak percentage,Point,percent,NA,NA, 2.89999999999999991118215803
HHS Region 1,Season peak week,Point,week,NA,NA, 6.00000000000000000000000000
HHS Region 10,1 wk ahead,Point,percent,NA,NA, 1.00000000000000000000000000
HHS Region 10,2 wk ahead,Point,percent,NA,NA, 1.00000000000000000000000000
HHS Region 10,3 wk ahead,Point,percent,NA,NA, 1.00000000000000000000000000
HHS Region 10,4 wk ahead,Point,percent,NA,NA, 1.19999999999999995559107901
HHS Region 10,Season onset,Point,week,NA,NA,51.00000000000000000000000000
HHS Region 10,Season peak percentage,Point,percent,NA,NA, 4.20000000000000017763568394
HHS Region 10,Season peak week,Point,week,NA,NA, 6.00000000000000000000000000
HHS Region 2,1 wk ahead,Point,percent,NA,NA, 1.30000000000000004440892099
HHS Region 2,2 wk ahead,Point,percent,NA,NA, 1.50000000000000000000000000
HHS Region 2,3 wk ahead,Point,percent,NA,NA, 1.60000000000000008881784197
HHS Region 2,4 wk ahead,Point,percent,NA,NA, 1.89999999999999991118215803
HHS Region 2,Season onset,Point,week,NA,NA,49.00000000000000000000000000
HHS Region 2,Season peak percentage,Point,percent,NA,NA, 4.79999999999999982236431606
HHS Region 2,Season peak week,Point,week,NA,NA, 5.00000000000000000000000000
HHS Region 3,1 wk ahead,Point,percent,NA,NA, 1.39999999999999991118215803
HHS Region 3,2 wk ahead,Point,percent,NA,NA, 1.50000000000000000000000000
HHS Region 3,3 wk ahead,Point,percent,NA,NA, 1.60000000000000008881784197
HHS Region 3,4 wk ahead,Point,percent,NA,NA, 1.80000000000000004440892099
HHS Region 3,Season onset,Point,week,NA,NA,51.00000000000000000000000000
HHS Region 3,Season peak percentage,Point,percent,NA,NA, 5.50000000000000000000000000
HHS Region 3,Season peak week,Point,week,NA,NA, 6.00000000000000000000000000
HHS Region 4,1 wk ahead,Point,percent,NA,NA, 1.30000000000000004440892099
HHS Region 4,2 wk ahead,Point,percent,NA,NA, 1.39999999999999991118215803
HHS Region 4,3 wk ahead,Point,percent,NA,NA, 1.60000000000000008881784197
HHS Region 4,4 wk ahead,Point,percent,NA,NA, 1.89999999999999991118215803
HHS Region 4,Season onset,Point,week,NA,NA,49.00000000000000000000000000
HHS Region 4,Season peak percentage,Point,percent,NA,NA, 4.70000000000000017763568394
HHS Region 4,Season peak week,Point,week,NA,NA, 5.00000000000000000000000000
HHS Region 5,1 wk ahead,Point,percent,NA,NA, 1.19999999999999995559107901
HHS Region 5,2 wk ahead,Point,percent,NA,NA, 1.19999999999999995559107901
HHS Region 5,3 wk ahead,Point,percent,NA,NA, 1.19999999999999995559107901
HHS Region 5,4 wk ahead,Point,percent,NA,NA, 1.50000000000000000000000000
HHS Region 5,Season onset,Point,week,NA,NA,52.00000000000000000000000000
HHS Region 5,Season peak percentage,Point,percent,NA,NA, 4.00000000000000000000000000
HHS Region 5,Season peak week,Point,week,NA,NA, 7.00000000000000000000000000
HHS Region 6,1 wk ahead,Point,percent,NA,NA, 2.10000000000000008881784197
HHS Region 6,2 wk ahead,Point,percent,NA,NA, 2.29999999999999982236431606
HHS Region 6,3 wk ahead,Point,percent,NA,NA, 2.60000000000000008881784197
HHS Region 6,4 wk ahead,Point,percent,NA,NA, 3.00000000000000000000000000
HHS Region 6,Season onset,Point,week,NA,NA,49.00000000000000000000000000
HHS Region 6,Season peak percentage,Point,percent,NA,NA, 8.19999999999999928945726424
HHS Region 6,Season peak week,Point,week,NA,NA, 3.00000000000000000000000000
HHS Region 7,1 wk ahead,Point,percent,NA,NA, 1.00000000000000000000000000
HHS Region 7,2 wk ahead,Point,percent,NA,NA, 1.10000000000000008881784197
HHS Region 7,3 wk ahead,Point,percent,NA,NA, 1.00000000000000000000000000
HHS Region 7,4 wk ahead,Point,percent,NA,NA, 1.19999999999999995559107901
HHS Region 7,Season onset,Point,week,NA,NA,52.00000000000000000000000000
HHS Region 7,Season peak percentage,Point,percent,NA,NA, 5.09999999999999964472863212
HHS Region 7,Season peak week,Point,week,NA,NA, 6.00000000000000000000000000
HHS Region 8,1 wk ahead,Point,percent,NA,NA, 0.80000000000000004440892099
HHS Region 8,2 wk ahead,Point,percent,NA,NA, 0.80000000000000004440892099
HHS Region 8,3 wk ahead,Point,percent,NA,NA, 0.80000000000000004440892099
HHS Region 8,4 wk ahead,Point,percent,NA,NA, 0.90000000000000002220446049
HHS Region 8,Season onset,Point,week,NA,NA,51.00000000000000000000000000
HHS Region 8,Season peak percentage,Point,percent,NA,NA, 3.39999999999999991118215803
HHS Region 8,Season peak week,Point,week,NA,NA, 5.00000000000000000000000000
HHS Region 9,1 wk ahead,Point,percent,NA,NA, 1.80000000000000004440892099
HHS Region 9,2 wk ahead,Point,percent,NA,NA, 1.80000000000000004440892099
HHS Region 9,3 wk ahead,Point,percent,NA,NA, 2.00000000000000000000000000
HHS Region 9,4 wk ahead,Point,percent,NA,NA, 2.10000000000000008881784197
HHS Region 9,Season onset,Point,week,NA,NA, 1.00000000000000000000000000
HHS Region 9,Season peak percentage,Point,percent,NA,NA, 5.09999999999999964472863212
HHS Region 9,Season peak week,Point,week,NA,NA, 5.00000000000000000000000000
US National,1 wk ahead,Point,percent,NA,NA, 1.50000000000000000000000000
US National,2 wk ahead,Point,percent,NA,NA, 1.50000000000000000000000000
US National,3 wk ahead,Point,percent,NA,NA, 1.60000000000000008881784197
US National,4 wk ahead,Point,percent,NA,NA, 1.89999999999999991118215803
US National,Season onset,Point,week,NA,NA,50.00000000000000000000000000
US National,Season peak percentage,Point,percent,NA,NA, 4.70000000000000017763568394
US National,Season peak week,Point,week,NA,NA, 6.00000000000000000000000000
US National,Season onset,Bin,week,40,41, 0.00085620319040871802323406
US National,Season onset,Bin,week,41,42, 0.00085620319040871802323406
US National,Season onset,Bin,week,42,43, 0.00178264790729567483909546
US National,Season onset,Bin,week,43,44, 0.00701259118329626302684732
US National,Season onset,Bin,week,44,45, 0.02072267800680848218175534
US National,Season onset,Bin,week,45,46, 0.04614872894235445832666898
US National,Season onset,Bin,week,46,47, 0.07851341270716542808383309
US National,Season onset,Bin,week,47,48, 0.10468361057317987494741374
US National,Season onset,Bin,week,48,49, 0.11451187131477613689867212
US National,Season onset,Bin,week,49,50, 0.11004866612071985410015174
US National,Season onset,Bin,week,50,51, 0.09927991727946501587798167
US National,Season onset,Bin,week,51,52, 0.08586083042952535882008647
US National,Season onset,Bin,week,52,53, 0.07004482782739400448246414
US National,Season onset,Bin,week,1,2, 0.05472834836949542341999475
US National,Season onset,Bin,week,2,3, 0.04428711172624346520398930
US National,Season onset,Bin,week,3,4, 0.03895201009858865331958455
US National,Season onset,Bin,week,4,5, 0.03461933652016388474059738
US National,Season onset,Bin,week,5,6, 0.02785546436607785891759193
US National,Season onset,Bin,week,6,7, 0.01889609945830107370912110
US National,Season onset,Bin,week,7,8, 0.01036765772313661369830040
US National,Season onset,Bin,week,8,9, 0.00446912120705455270103235
US National,Season onset,Bin,week,9,10, 0.00148096312946055367644471
US National,Season onset,Bin,week,10,11, 0.00037315176624696486410923
US National,Season onset,Bin,week,11,12, 0.00017887830061568589924519
US National,Season onset,Bin,week,12,13, 0.00017887830061568589924519
US National,Season onset,Bin,week,13,14, 0.00017887830061568589924519
US National,Season onset,Bin,week,14,15, 0.00017887830061568589924519
US National,Season onset,Bin,week,15,16, 0.00017887830061568589924519
US National,Season onset,Bin,week,16,17, 0.00017887830061568589924519
US National,Season onset,Bin,week,17,18, 0.00017887830061568589924519
US National,Season onset,Bin,week,18,19, 0.00017887830061568589924519
US National,Season onset,Bin,week,19,20, 0.00017887830061568589924519
US National,Season onset,Bin,week,20,21, 0.00017887830061568589924519
US National,Season onset,Bin,week,none,none, 0.02185976395627619445205525
US National,Season peak week,Bin,week,40,41, 0.00123545126917853150157189
US National,Season peak week,Bin,week,41,42, 0.00123545126917853150157189
US National,Season peak week,Bin,week,42,43, 0.00123545126917853150157189
US National,Season peak week,Bin,week,43,44, 0.00123545126917853150157189
US National,Season peak week,Bin,week,44,45, 0.00123545126917853150157189
US National,Season peak week,Bin,week,45,46, 0.00123545126917853150157189
US National,Season peak week,Bin,week,46,47, 0.00123545126917853150157189
US National,Season peak week,Bin,week,47,48, 0.00123545126917853150157189
US National,Season peak week,Bin,week,48,49, 0.00123545126917853150157189
US National,Season peak week,Bin,week,49,50, 0.00124067704281447064446064
US National,Season peak week,Bin,week,50,51, 0.00870991048343354272442962
US National,Season peak week,Bin,week,51,52, 0.05600313450320918567948425
US National,Season peak week,Bin,week,52,53, 0.10381889186570847360968628
US National,Season peak week,Bin,week,1,2, 0.05806743905814570894108329
US National,Season peak week,Bin,week,2,3, 0.02222600461730717472108587
US National,Season peak week,Bin,week,3,4, 0.03095254214690732960657549
US National,Season peak week,Bin,week,4,5, 0.05515956205698601538811587
US National,Season peak week,Bin,week,5,6, 0.10733834128484222303345774
US National,Season peak week,Bin,week,6,7, 0.15435960763434405929039883
US National,Season peak week,Bin,week,7,8, 0.17054973955449384548366254
US National,Season peak week,Bin,week,8,9, 0.09842757150348555028607223
US National,Season peak week,Bin,week,9,10, 0.03720947349902357925710561
US National,Season peak week,Bin,week,10,11, 0.03540912715548899525330739
US National,Season peak week,Bin,week,11,12, 0.03269003324992053594044705
US National,Season peak week,Bin,week,12,13, 0.01311107210705089384794597
US National,Season peak week,Bin,week,13,14, 0.00183580351113193799075796
US National,Season peak week,Bin,week,14,15, 0.00025406721442292827094905
US National,Season peak week,Bin,week,15,16, 0.00025299001477946050789672
US National,Season peak week,Bin,week,16,17, 0.00025299001477946050789672
US National,Season peak week,Bin,week,17,18, 0.00025299001477946050789672
US National,Season peak week,Bin,week,18,19, 0.00025299001477946050789672
US National,Season peak week,Bin,week,19,20, 0.00025299001477946050789672
US National,Season peak week,Bin,week,20,21, 0.00025299001477946050789672
US National,Season peak percentage,Bin,percent,0,0.1, 0.00009886826260784499118776
US National,Season peak percentage,Bin,percent,0.1,0.2, 0.00023818496630193734635295
US National,Season peak percentage,Bin,percent,0.2,0.3, 0.00030255472178141785445649
US National,Season peak percentage,Bin,percent,0.3,0.4, 0.00038135681101452453909545
US National,Season peak percentage,Bin,percent,0.4,0.5, 0.00047702805774942199854016
US National,Season peak percentage,Bin,percent,0.5,0.6, 0.00059230765609227711138152
