"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,4.5
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.00028
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.00192
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.001
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.00008
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.0015
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.01032
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.022
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.01936
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.0224
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.03854
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.04026
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.02588
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.01506
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.009
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.01084
"HHS Region 1","1 wk ahead","Bin","percent","3.2","3.3",0.01806
"HHS Region 1","1 wk ahead","Bin","percent","3.3","3.4",0.02038
"HHS Region 1","1 wk ahead","Bin","percent","3.4","3.5",0.02
"HHS Region 1","1 wk ahead","Bin","percent","3.5","3.6",0.02422
"HHS Region 1","1 wk ahead","Bin","percent","3.6","3.7",0.0377
"HHS Region 1","1 wk ahead","Bin","percent","3.7","3.8",0.04546
"HHS Region 1","1 wk ahead","Bin","percent","3.8","3.9",0.04122
"HHS Region 1","1 wk ahead","Bin","percent","3.9","4.0",0.024
"HHS Region 1","1 wk ahead","Bin","percent","4.0","4.1",0.01114
"HHS Region 1","1 wk ahead","Bin","percent","4.1","4.2",0.00588
"HHS Region 1","1 wk ahead","Bin","percent","4.2","4.3",0.00596
"HHS Region 1","1 wk ahead","Bin","percent","4.3","4.4",0.00882
"HHS Region 1","1 wk ahead","Bin","percent","4.4","4.5",0.01374
"HHS Region 1","1 wk ahead","Bin","percent","4.5","4.6",0.01748
"HHS Region 1","1 wk ahead","Bin","percent","4.6","4.7",0.02294
"HHS Region 1","1 wk ahead","Bin","percent","4.7","4.8",0.02166
"HHS Region 1","1 wk ahead","Bin","percent","4.8","4.9",0.02246
"HHS Region 1","1 wk ahead","Bin","percent","4.9","5.0",0.02534
"HHS Region 1","1 wk ahead","Bin","percent","5.0","5.1",0.02814
"HHS Region 1","1 wk ahead","Bin","percent","5.1","5.2",0.03602
"HHS Region 1","1 wk ahead","Bin","percent","5.2","5.3",0.03672
"HHS Region 1","1 wk ahead","Bin","percent","5.3","5.4",0.03592
"HHS Region 1","1 wk ahead","Bin","percent","5.4","5.5",0.03256
"HHS Region 1","1 wk ahead","Bin","percent","5.5","5.6",0.02924
"HHS Region 1","1 wk ahead","Bin","percent","5.6","5.7",0.02336
"HHS Region 1","1 wk ahead","Bin","percent","5.7","5.8",0.01862
"HHS Region 1","1 wk ahead","Bin","percent","5.8","5.9",0.01872
"HHS Region 1","1 wk ahead","Bin","percent","5.9","6.0",0.01984
"HHS Region 1","1 wk ahead","Bin","percent","6.0","6.1",0.01816
"HHS Region 1","1 wk ahead","Bin","percent","6.1","6.2",0.01794
"HHS Region 1","1 wk ahead","Bin","percent","6.2","6.3",0.01458
"HHS Region 1","1 wk ahead","Bin","percent","6.3","6.4",0.01
"HHS Region 1","1 wk ahead","Bin","percent","6.4","6.5",0.00722
"HHS Region 1","1 wk ahead","Bin","percent","6.5","6.6",0.00484
"HHS Region 1","1 wk ahead","Bin","percent","6.6","6.7",0.00468
"HHS Region 1","1 wk ahead","Bin","percent","6.7","6.8",0.00544
"HHS Region 1","1 wk ahead","Bin","percent","6.8","6.9",0.00496
"HHS Region 1","1 wk ahead","Bin","percent","6.9","7.0",0.00506
"HHS Region 1","1 wk ahead","Bin","percent","7.0","7.1",0.00498
"HHS Region 1","1 wk ahead","Bin","percent","7.1","7.2",0.00396
