Location,Target,Type,Unit,Bin_start_incl,Bin_end_notincl,Value
US National,Season onset,Point,week,NA,NA,50
US National,Season onset,Bin,week,40,41,0.0151769775172094
US National,Season onset,Bin,week,41,42,0.011301755603581
US National,Season onset,Bin,week,42,43,0.00521212116787924
US National,Season onset,Bin,week,43,44,0.00532665974660717
US National,Season onset,Bin,week,44,45,0.0131916421525919
US National,Season onset,Bin,week,45,46,0.0297806463050208
US National,Season onset,Bin,week,46,47,0.0532610549442471
US National,Season onset,Bin,week,47,48,0.0776195926870541
US National,Season onset,Bin,week,48,49,0.0880521482328567
US National,Season onset,Bin,week,49,50,0.107609610550651
US National,Season onset,Bin,week,50,51,0.139518149607941
US National,Season onset,Bin,week,51,52,0.129591472784854
US National,Season onset,Bin,week,52,53,0.0814948146006825
US National,Season onset,Bin,week,1,2,0.0398695861146396
US National,Season onset,Bin,week,2,3,0.0320809627611402
US National,Season onset,Bin,week,3,4,0.0355075752414175
US National,Season onset,Bin,week,4,5,0.0321668666951861
US National,Season onset,Bin,week,5,6,0.0235764732905911
US National,Season onset,Bin,week,6,7,0.0125330453249063
US National,Season onset,Bin,week,7,8,0.00441989599834437
US National,Season onset,Bin,week,8,9,0.000878744939339113
US National,Season onset,Bin,week,9,10,0.000124699296046888
US National,Season onset,Bin,week,10,11,1.01607173189549e-05
US National,Season onset,Bin,week,11,12,1.01607173189549e-05
US National,Season onset,Bin,week,12,13,1.01607173189549e-05
US National,Season onset,Bin,week,13,14,1.01607173189549e-05
US National,Season onset,Bin,week,14,15,1.01607173189549e-05
US National,Season onset,Bin,week,15,16,1.01607173189549e-05
US National,Season onset,Bin,week,16,17,1.01607173189549e-05
US National,Season onset,Bin,week,17,18,1.01607173189549e-05
US National,Season onset,Bin,week,18,19,1.01607173189549e-05
US National,Season onset,Bin,week,19,20,1.01607173189549e-05
US National,Season onset,Bin,week,20,21,1.01607173189549e-05
US National,Season onset,Bin,week,none,none,0.0615937365467042
US National,Season peak week,Point,week,NA,NA,5
US National,Season peak week,Bin,week,40,41,0.00580699052967402
US National,Season peak week,Bin,week,41,42,0.00743737608566569
US National,Season peak week,Bin,week,42,43,0.00830288940551312
US National,Season peak week,Bin,week,43,44,0.00801103026277387
US National,Season peak week,Bin,week,44,45,0.00576673409619275
US National,Season peak week,Bin,week,45,46,0.00404577156486821
US National,Season peak week,Bin,week,46,47,0.00383442528909151
US National,Season peak week,Bin,week,47,48,0.00576673409619275
US National,Season peak week,Bin,week,48,49,0.0111510320743134
US National,Season peak week,Bin,week,49,50,0.021647897104556
US National,Season peak week,Bin,week,50,51,0.0355061743304852
US National,Season peak week,Bin,week,51,52,0.0479856687096807
US National,Season peak week,Bin,week,52,53,0.056359006873786
US National,Season peak week,Bin,week,1,2,0.0588549057496251
US National,Season peak week,Bin,week,2,3,0.0597908678280648
US National,Season peak week,Bin,week,3,4,0.0638467035013033
US National,Season peak week,Bin,week,4,5,0.0759437617624267
US National,Season peak week,Bin,week,5,6,0.0851826132463794
US National,Season peak week,Bin,week,6,7,0.0942302466712961
US National,Season peak week,Bin,week,7,8,0.0905669112245001
US National,Season peak week,Bin,week,8,9,0.0774835703430855
US National,Season peak week,Bin,week,9,10,0.0592172136509566
US National,Season peak week,Bin,week,10,11,0.0434970763765184
US National,Season peak week,Bin,week,11,12,0.0289745679981482
US National,Season peak week,Bin,week,12,13,0.0187091774604229
US National,Season peak week,Bin,week,13,14,0.0112718013747572
US National,Season peak week,Bin,week,14,15,0.00617936253937582
US National,Season peak week,Bin,week,15,16,0.00292865553576281
US National,Season peak week,Bin,week,16,17,0.00100641083703189
US National,Season peak week,Bin,week,17,18,0.000513269526886266
US National,Season peak week,Bin,week,18,19,0.000110705192073508
US National,Season peak week,Bin,week,19,20,4.02564334812757e-05
US National,Season peak week,Bin,week,20,21,3.01923251109568e-05
US National,Season peak percentage,Point,percent,NA,NA,5
US National,Season peak percentage,Bin,percent,0,0.1,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.1,0.2,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.2,0.3,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.3,0.4,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.4,0.5,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.5,0.6,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.6,0.7,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.7,0.8,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.8,0.9,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,0.9,1,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,1,1.1,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,1.1,1.2,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,1.2,1.3,9.9869171385485e-06
US National,Season peak percentage,Bin,percent,1.3,1.4,3.9947668554194e-05
US National,Season peak percentage,Bin,percent,1.4,1.5,4.99345856927425e-05
US National,Season peak percentage,Bin,percent,1.5,1.6,0.000129829922801131
US National,Season peak percentage,Bin,percent,1.6,1.7,0.00039947668554194
