"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.1
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0.0004
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0.00224
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.00976
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.028
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.05596
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.085
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.1116
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.12356
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.1205
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.11294
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.09534
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.07658
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.05566
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.04116
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.02858
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.01982
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.01248
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.00812
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.0049
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.00316
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.00188
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.00108
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.00068
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.00018
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.0001
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.00014
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","3.0","3.1",0.00006
"HHS Region 1","1 wk ahead","Bin","percent","3.1","3.2",0.00004
