"location","target","type","unit","bin_start_incl","bin_end_notincl","value"
"HHS Region 1","1 wk ahead","Point","percent",NA,NA,1.2
"HHS Region 1","1 wk ahead","Bin","percent","0.0","0.1",0
"HHS Region 1","1 wk ahead","Bin","percent","0.1","0.2",0
"HHS Region 1","1 wk ahead","Bin","percent","0.2","0.3",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","0.3","0.4",0.00002
"HHS Region 1","1 wk ahead","Bin","percent","0.4","0.5",0.00136
"HHS Region 1","1 wk ahead","Bin","percent","0.5","0.6",0.00614
"HHS Region 1","1 wk ahead","Bin","percent","0.6","0.7",0.01726
"HHS Region 1","1 wk ahead","Bin","percent","0.7","0.8",0.0358
"HHS Region 1","1 wk ahead","Bin","percent","0.8","0.9",0.05946
"HHS Region 1","1 wk ahead","Bin","percent","0.9","1.0",0.08502
"HHS Region 1","1 wk ahead","Bin","percent","1.0","1.1",0.10038
"HHS Region 1","1 wk ahead","Bin","percent","1.1","1.2",0.11196
"HHS Region 1","1 wk ahead","Bin","percent","1.2","1.3",0.11356
"HHS Region 1","1 wk ahead","Bin","percent","1.3","1.4",0.10174
"HHS Region 1","1 wk ahead","Bin","percent","1.4","1.5",0.08884
"HHS Region 1","1 wk ahead","Bin","percent","1.5","1.6",0.07426
"HHS Region 1","1 wk ahead","Bin","percent","1.6","1.7",0.05812
"HHS Region 1","1 wk ahead","Bin","percent","1.7","1.8",0.04322
"HHS Region 1","1 wk ahead","Bin","percent","1.8","1.9",0.0319
"HHS Region 1","1 wk ahead","Bin","percent","1.9","2.0",0.02294
"HHS Region 1","1 wk ahead","Bin","percent","2.0","2.1",0.01594
"HHS Region 1","1 wk ahead","Bin","percent","2.1","2.2",0.01094
"HHS Region 1","1 wk ahead","Bin","percent","2.2","2.3",0.00792
"HHS Region 1","1 wk ahead","Bin","percent","2.3","2.4",0.00484
"HHS Region 1","1 wk ahead","Bin","percent","2.4","2.5",0.00342
"HHS Region 1","1 wk ahead","Bin","percent","2.5","2.6",0.00174
"HHS Region 1","1 wk ahead","Bin","percent","2.6","2.7",0.00118
"HHS Region 1","1 wk ahead","Bin","percent","2.7","2.8",0.0008
"HHS Region 1","1 wk ahead","Bin","percent","2.8","2.9",0.00058
"HHS Region 1","1 wk ahead","Bin","percent","2.9","3.0",0.00028
