location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.000124570372625726
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.000124901832253049
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.000126566205416698
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.000130964131306448
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.000136942604011488
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.000142384602185365
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.00014740536066144
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.000149989344347492
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.000181275694997091
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.000161678320606133
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.00313614595900565
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.00602038221450667
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.000456352695144976
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.0098481261303626
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0877562499179157
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.243200135423838
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.135045707224013
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0601483150589662
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0374995041002059
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.0413826817526229
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.018192030068828
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0348422104568412
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0287439127515288
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.0541665384623177
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.0519441691478109
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.0358199955222861
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.0276192276368744
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.0203037963488949
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.025451823727157
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.00727115237698152
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.00604498654108094
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.00277314858191595
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0115458674178371
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.00826311844898768
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.00259261150249369
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.0023597383603816
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.00202603483361712
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.00503213119975933
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.0017527051337394
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.00156040485840655
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.00144944109988685
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.00142934465933512
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.00138881987663781
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.00123698464277986
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.00111576853560519
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.000913597388173246
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.00107509371216135
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.000873126121978523
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.000862986563694163
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.000812202556054794
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.000731409134735685
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,0.000620250099216369
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,0.000509004702888071
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,0.000458509261668478
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,0.000428310816950852
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,0.000286954486574396
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,0.000347374253464789
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,0.000407830359730681
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,0.000357241631812069
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,0.000276331169507454
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,0.000215699742314676
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,0.000276620880828987
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,0.000246363825744228
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,0.000185606088232985
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,0.000225951377540293
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,0.000165298861538931
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,0.000205662166968246
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,0.000205586157715283
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,0.000195579669684281
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,0.000185526235173364
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,0.000185493754060322
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,0.000155195037484163
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,0.000175352916558419
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,0.000155125131223869
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,0.000165198613581579
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,0.000175462368931813
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,0.00014515356291949
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,0.000145062930611368
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,0.000144931200338535
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,0.000154949745684732
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,0.000144901710944445
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,0.000124715181461231
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,0.000155227612380909
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,0.000124951710516773
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,0.000145041337386694
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,0.000124737103171021
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,0.000134783818905042
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,0.000124624698398963
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,0.000124536508249528
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,0.000124764237811515
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,0.000135073840097376
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,0.00013500175843277
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,0.000124834069276666
HHS Region 1,1 wk ahead,Bin,percent,9.3,9.4,0.000134878330887389
HHS Region 1,1 wk ahead,Bin,percent,9.4,9.5,0.000124746418453672
HHS Region 1,1 wk ahead,Bin,percent,9.5,9.6,0.000124701875301924
HHS Region 1,1 wk ahead,Bin,percent,9.6,9.7,0.000124905537722865
HHS Region 1,1 wk ahead,Bin,percent,9.7,9.8,0.000124887433405418
HHS Region 1,1 wk ahead,Bin,percent,9.8,9.9,0.000124755277393145
HHS Region 1,1 wk ahead,Bin,percent,9.9,10.0,0.000124650975898086
HHS Region 1,1 wk ahead,Bin,percent,10.0,10.1,0.000124751436202045
HHS Region 1,1 wk ahead,Bin,percent,10.1,10.2,0.000124731027755985
HHS Region 1,1 wk ahead,Bin,percent,10.2,10.3,0.000124715937781668
HHS Region 1,1 wk ahead,Bin,percent,10.3,10.4,0.000124945141744971
HHS Region 1,1 wk ahead,Bin,percent,10.4,10.5,0.000135027934992208
HHS Region 1,1 wk ahead,Bin,percent,10.5,10.6,0.000124799995190659
HHS Region 1,1 wk ahead,Bin,percent,10.6,10.7,0.000124701823995413
HHS Region 1,1 wk ahead,Bin,percent,10.7,10.8,0.000124624938879402
HHS Region 1,1 wk ahead,Bin,percent,10.8,10.9,0.00012456493179635
HHS Region 1,1 wk ahead,Bin,percent,10.9,11.0,0.000124515248131242
HHS Region 1,1 wk ahead,Bin,percent,11.0,11.1,0.000124893892914981
HHS Region 1,1 wk ahead,Bin,percent,11.1,11.2,0.000124901790318684
HHS Region 1,1 wk ahead,Bin,percent,11.2,11.3,0.00012481435321684
HHS Region 1,1 wk ahead,Bin,percent,11.3,11.4,0.000124797577088759
HHS Region 1,1 wk ahead,Bin,percent,11.4,11.5,0.0001247373490212
HHS Region 1,1 wk ahead,Bin,percent,11.5,11.6,0.000124696278056567
HHS Region 1,1 wk ahead,Bin,percent,11.6,11.7,0.000124663010626259
HHS Region 1,1 wk ahead,Bin,percent,11.7,11.8,0.000124873144481706
HHS Region 1,1 wk ahead,Bin,percent,11.8,11.9,0.00012481586032644
HHS Region 1,1 wk ahead,Bin,percent,11.9,12.0,0.000124736035005234
HHS Region 1,1 wk ahead,Bin,percent,12.0,12.1,0.000124797790293981
HHS Region 1,1 wk ahead,Bin,percent,12.1,12.2,0.000124770976741414
HHS Region 1,1 wk ahead,Bin,percent,12.2,12.3,0.000124737807294051
