location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.00247366533995802
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.00581655206636894
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.0121156801259209
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.0163027743498829
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.0174768723732356
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.0178290374886804
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.0189948130992216
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.0337730817955873
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0298191754488432
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.0689192477105226
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.119065073595647
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.132957760414582
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.0994702572848521
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.117394552169702
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0998978271180419
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0509586243645249
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0268742624501706
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0171227262625886
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0111447276873587
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.0076994132601635
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00607700853887173
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00454947672501511
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0034995143889274
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00304553453505434
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00269664522073174
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00277759448357166
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00235863357558238
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.00202417109260072
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.00189546097147957
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.00165000200375353
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.00147969197403812
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.00134078488384204
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0012343904893252
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.00114171392883252
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.00103439879993078
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.000969806091319429
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.000897878124670308
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.000854862768709091
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.000774856019669121
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.000738940914615156
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.000700870803653315
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.000663040127573821
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.00064361310951495
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.000624538409844589
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.000611639755876278
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.000697495791745811
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.000593887578748091
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.000589837985615062
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.000585357014351742
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.00058197090907275
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.000579876982690798
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,0.000577937823516504
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,0.000576938986917772
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,0.000576275114284453
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,0.000575794722589816
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,0.000575934930607299
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,0.000576202969726892
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,0.00057512735841096
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,0.000575075082619674
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,0.000575006568589345
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,0.000574935209761938
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,0.000574914862300256
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,0.000574922687327466
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,0.000574938025449271
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,0.00057491638509734
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,0.000574894901144133
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,0.000574903317766386
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,0.000574914365929965
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,0.000574914770138316
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,0.000574895524752435
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,0.000574894259208379
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,0.000574913700961087
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,0.00057492845901748
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,0.000574911161558027
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,0.000575362404874106
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,0.000574881555290875
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,0.000574883554192454
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,0.000575417492280864
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,0.000574933127216118
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,0.000574900367946734
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,0.000574904914730665
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,0.000574918593989785
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,0.000574947591008494
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,0.00057493113722886
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,0.000574910920069804
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,0.00057492511466254
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,0.000574930674690805
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,0.00057493222107317
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,0.00057490241731495
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,0.000574892926720057
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,0.000574906292891971
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,0.000574923559591854
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,0.000574919494996042
HHS Region 1,1 wk ahead,Bin,percent,9.3,9.4,0.000574895131577851
HHS Region 1,1 wk ahead,Bin,percent,9.4,9.5,0.00057489240743508
HHS Region 1,1 wk ahead,Bin,percent,9.5,9.6,0.000574896118618897
HHS Region 1,1 wk ahead,Bin,percent,9.6,9.7,0.000574938542276732
HHS Region 1,1 wk ahead,Bin,percent,9.7,9.8,0.000574920440513819
HHS Region 1,1 wk ahead,Bin,percent,9.8,9.9,0.000574883885140834
HHS Region 1,1 wk ahead,Bin,percent,9.9,10.0,0.000574881802863423
HHS Region 1,1 wk ahead,Bin,percent,10.0,10.1,0.000574897136799408
HHS Region 1,1 wk ahead,Bin,percent,10.1,10.2,0.000574931577771562
HHS Region 1,1 wk ahead,Bin,percent,10.2,10.3,0.000574912272414378
HHS Region 1,1 wk ahead,Bin,percent,10.3,10.4,0.000574892873158724
HHS Region 1,1 wk ahead,Bin,percent,10.4,10.5,0.00057490120779742
HHS Region 1,1 wk ahead,Bin,percent,10.5,10.6,0.000574907484490226
HHS Region 1,1 wk ahead,Bin,percent,10.6,10.7,0.00057491913561615
