location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,2.60750389967461e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,2.92207901750044e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,3.000131050626e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,3.00893362979926e-05
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,3.00833446290192e-05
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,3.00871645987252e-05
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,3.00835747572361e-05
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,3.00859624444541e-05
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,3.00846761342209e-05
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,3.00848521194815e-05
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,3.00857559221672e-05
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,3.00839341003758e-05
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,3.00871524520955e-05
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,7.9117765673648e-05
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,3.00999295378228e-05
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.000275236801522988
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,3.00903396953735e-05
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,7.91135268148919e-05
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.000128147672688038
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.000177175180067082
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,7.91920361999128e-05
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.000131318631150096
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.000502284115551632
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.000750643930446302
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00177910491847862
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00334489523571369
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00360759547345401
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.00389973504477722
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.0070148972021628
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.0132959767555719
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.0281176875299455
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.052396811219645
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0862434214085796
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0988702056431753
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.100151994552155
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.0963698717870243
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0920101495115606
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.0768466171668124
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.0662118051176854
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.059648960126291
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.0625332469704709
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.0559982243161133
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.0358052446849914
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.017734019100491
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.0118485599461723
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.00978424229241265
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.00541121594031882
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.00250979260600677
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.00087302404179697
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.00100457906526203
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.00047578994199543
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,0.000105828581412218
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,0.000181558956663562
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,0.000275248193814976
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,7.91145336149649e-05
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,3.00877912252917e-05
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,7.9113342208967e-05
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,0.000128146729518589
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,7.91145491640953e-05
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,3.00852234949546e-05
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,3.00853737962294e-05
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,3.00842036628691e-05
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,3.00866400915114e-05
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,3.00859876564562e-05
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,3.00946930473357e-05
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,3.00867320630933e-05
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,3.00950130429918e-05
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,3.00838823022415e-05
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,7.91176253436275e-05
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,3.00833585079924e-05
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,3.00861573668211e-05
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,0.000226205380570143
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,3.00850587359282e-05
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,3.00855137840185e-05
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,3.00839927074071e-05
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,3.00869829229674e-05
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,3.00868486522537e-05
