location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,3.13658428347565e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,3.19154279686716e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,3.19618732253916e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,3.19435765878565e-05
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,3.19164648506542e-05
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,3.19246721456244e-05
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,3.19837840259587e-05
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.000267533805496668
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,3.19203298874777e-05
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,3.19519786878167e-05
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.000267568793010956
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.000149724078849478
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.000267535313458898
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.000385403303058276
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.000856578269417839
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.000403232638440457
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.000149749867172104
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.002456651415304
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.00587742498496612
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.0119197411905595
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.022906986470657
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0389150135708943
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0540609433958651
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.0661716824019272
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.0726816181423018
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.0729751771267598
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.0765905589702211
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.0964975222170368
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.10216076684847
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.0754961284347125
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.0646004775055889
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.0642620106123071
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.044411224519157
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0369287230057973
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.021661098996543
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.0229599930755987
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0235647706988482
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.00897670852613352
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.00166719689583677
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.000762747542744888
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.00168122673815676
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.000638867493748344
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.000856620610888078
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.000267532622276706
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.000267536391903948
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,3.19648604825962e-05
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.000267555488280215
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.000620953997603854
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,3.19283264869627e-05
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,3.19802994052773e-05
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,3.19186474671542e-05
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,3.19207220795559e-05
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,3.19547312428319e-05
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,3.19509269674952e-05
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,3.19163560192286e-05
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,0.000620957855964325
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,3.19843283998229e-05
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,3.19227962459703e-05
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,0.000267534218820547
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,3.19451548587154e-05
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,3.19614080171859e-05
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,0.000149724675723119
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,3.19212895241552e-05
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,3.19720486566381e-05
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,3.19337392347343e-05
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,3.19177238133312e-05
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,0.000149742681609785
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,3.19725709776202e-05
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,3.19180701890151e-05
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,3.19213500409817e-05
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,3.1961114802775e-05
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,3.19442868890165e-05
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,3.19163955716365e-05
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,3.19235904940479e-05
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,3.19849433249123e-05
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,3.19189945636219e-05
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,3.19202270392153e-05
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,3.19512939751385e-05
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,3.19546262547245e-05
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,3.19166835539121e-05
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,0.000149728019784949
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,3.19800233976469e-05
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,3.19270816563084e-05
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,3.1918765769594e-05
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,3.19416848791939e-05
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,3.19653085382596e-05
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,3.19174760393228e-05
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,3.19215600640025e-05
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,3.19679366622763e-05
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,3.19375572007927e-05
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,3.19169772170423e-05
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,3.19313839930942e-05
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,3.19768811483012e-05
HHS Region 1,1 wk ahead,Bin,percent,9.3,9.4,3.19184066329096e-05
HHS Region 1,1 wk ahead,Bin,percent,9.4,9.5,3.19210670761881e-05
