location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,2.26373217271045e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,2.35950352822357e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,2.37281879602236e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.000293540839978699
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,2.9559188057366e-05
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.000603921124852896
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.00401920921191
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00480417009853345
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0143498283581873
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.032854861851379
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0617227574429033
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.141431896435994
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.167743285229178
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.185269895868383
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.124731103613902
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0883720010659611
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0644151402488389
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0430072249156156
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0260042619496125
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.0146529012041586
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00885280783002675
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00589068763506811
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.00248256848960381
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00121797242239146
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00134703694442758
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.000234376332406716
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.000574228850935507
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.000972844866689056
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,2.36318567681521e-05
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.000562672005416769
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,2.36299164594939e-05
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,2.36124158122535e-05
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,2.36176100293959e-05
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,2.37211027954855e-05
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,2.36957133882297e-05
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.000832254175223573
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,2.36673980388347e-05
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,2.35977561103895e-05
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,2.35735494025923e-05
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,2.35934663916715e-05
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,2.36076760408622e-05
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,2.37162226461311e-05
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,2.37173800827159e-05
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,2.36589089196834e-05
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,2.36336198884874e-05
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,2.36580561359093e-05
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,2.36183436181367e-05
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,2.36599009495054e-05
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.000293243146410319
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,2.36351364783654e-05
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,2.36103506745137e-05
