location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.000758205575032059
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.000967975411827402
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.00128895301268406
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.00179063328890783
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.00300234614057013
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.00459942160534528
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.00645194315141842
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.0111947415695665
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0237073637882758
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.0310187680631613
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0386616407383512
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.105461656538152
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.143346064355997
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.22950009438426
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.14944078448514
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.112635968272945
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0450519530501672
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.00895095080100261
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0069962296402951
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00656751543359487
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00600341958028381
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00855519644085259
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0138312433368535
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00466065891511007
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00415291173351683
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00360990835930271
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00313867878504736
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.00266203349791192
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.00223564827983077
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.00185174826951173
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.00151380783302448
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.00122314084762847
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.000978664159997759
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.00077725562064374
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.000614979605302907
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.000486366596489557
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.000386686382763758
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.000310953783553795
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.00025452066251257
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.000213483387296463
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.000183697466679603
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.000162743506539084
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.000148276443186507
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.000138551201243107
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.000132084194698311
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.000127646243818898
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.000124853215551501
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.000123124427094856
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.000122215665236651
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.000121508351286023
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.000121006778206484
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,0.00012072650897994
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,0.000120556528184743
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,0.000120748338291943
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,0.000120605057205905
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,0.000120512591338664
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,0.000120475508142948
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,0.000120497885611346
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,0.00012067790359571
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,0.000120482684225376
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,0.000120433538159301
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,0.000120402499206679
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,0.000120535192391738
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,0.000120635182450443
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,0.000120479775709513
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,0.000120460879921102
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,0.000120427169750064
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,0.000120587778493469
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,0.000120567460303615
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,0.000120478612709891
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,0.000120464217713849
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,0.00012044891406637
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,0.000120668031208976
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,0.000120523731198187
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,0.00012044966540452
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,0.000120401954168573
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,0.000120389181407234
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,0.000120690879778995
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,0.000120527726107632
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,0.000120475815596151
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,0.000120448203906571
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,0.000120527215804869
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,0.000120629653284992
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,0.000120467553178965
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,0.000120435667020469
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,0.000120439379558324
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,0.000120595425895928
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,0.000120588849638605
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,0.000120466597736894
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,0.000120418544046981
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,0.000120390752831569
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,0.000120637605624825
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,0.000120555284932501
HHS Region 1,1 wk ahead,Bin,percent,9.3,9.4,0.000120488771581493
HHS Region 1,1 wk ahead,Bin,percent,9.4,9.5,0.000120458913714403
HHS Region 1,1 wk ahead,Bin,percent,9.5,9.6,0.000120466559254382
HHS Region 1,1 wk ahead,Bin,percent,9.6,9.7,0.000120687379841203
HHS Region 1,1 wk ahead,Bin,percent,9.7,9.8,0.000120484554946951
HHS Region 1,1 wk ahead,Bin,percent,9.8,9.9,0.000120436371270947
HHS Region 1,1 wk ahead,Bin,percent,9.9,10.0,0.00012039944625446
HHS Region 1,1 wk ahead,Bin,percent,10.0,10.1,0.000120510091183667
HHS Region 1,1 wk ahead,Bin,percent,10.1,10.2,0.000120648663062522
HHS Region 1,1 wk ahead,Bin,percent,10.2,10.3,0.000120483467839213
HHS Region 1,1 wk ahead,Bin,percent,10.3,10.4,0.000120463084203745
HHS Region 1,1 wk ahead,Bin,percent,10.4,10.5,0.000120431051642239
HHS Region 1,1 wk ahead,Bin,percent,10.5,10.6,0.000120571522681527
HHS Region 1,1 wk ahead,Bin,percent,10.6,10.7,0.000120582306081439
HHS Region 1,1 wk ahead,Bin,percent,10.7,10.8,0.000120473175091148
HHS Region 1,1 wk ahead,Bin,percent,10.8,10.9,0.000120460061760505
HHS Region 1,1 wk ahead,Bin,percent,10.9,11.0,0.000120448311266936
HHS Region 1,1 wk ahead,Bin,percent,11.0,11.1,0.000120651243568258
HHS Region 1,1 wk ahead,Bin,percent,11.1,11.2,0.000120539403254241
HHS Region 1,1 wk ahead,Bin,percent,11.2,11.3,0.000120453330894488
HHS Region 1,1 wk ahead,Bin,percent,11.3,11.4,0.000120405425836155
HHS Region 1,1 wk ahead,Bin,percent,11.4,11.5,0.000120370401236147
HHS Region 1,1 wk ahead,Bin,percent,11.5,11.6,0.000120697089876542
HHS Region 1,1 wk ahead,Bin,percent,11.6,11.7,0.00012052655663205
HHS Region 1,1 wk ahead,Bin,percent,11.7,11.8,0.000120479220188806
HHS Region 1,1 wk ahead,Bin,percent,11.8,11.9,0.000120450731867253
HHS Region 1,1 wk ahead,Bin,percent,11.9,12.0,0.000120511931940762
HHS Region 1,1 wk ahead,Bin,percent,12.0,12.1,0.000120643492307169
HHS Region 1,1 wk ahead,Bin,percent,12.1,12.2,0.000120471227045109
HHS Region 1,1 wk ahead,Bin,percent,12.2,12.3,0.000120430849762703
HHS Region 1,1 wk ahead,Bin,percent,12.3,12.4,0.000120437473142111
HHS Region 1,1 wk ahead,Bin,percent,12.4,12.5,0.000120577057271345
HHS Region 1,1 wk ahead,Bin,percent,12.5,12.6,0.000120603377526758
HHS Region 1,1 wk ahead,Bin,percent,12.6,12.7,0.000120470254394816
HHS Region 1,1 wk ahead,Bin,percent,12.7,12.8,0.000120422189909208
HHS Region 1,1 wk ahead,Bin,percent,12.8,12.9,0.000120404563036158
HHS Region 1,1 wk ahead,Bin,percent,12.9,13.0,0.000120617666967018
HHS Region 1,1 wk ahead,Bin,percent,13.0,100.0,0.000119197955139399
HHS Region 1,2 wk ahead,Bin,percent,0.0,0.1,0.000144065057241623
