location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.00145934729101279
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.00219160824489051
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.00463817682177553
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.00693687112818938
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.00819020905450281
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.00851127935778051
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.00865442928206213
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00862263244539429
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.00905835792036806
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.0104247140745337
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.0118266986817823
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.014310300520352
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.0184166436258153
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.0227831330182792
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0315610524072658
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0643394745359765
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.065704343981872
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.101063033399748
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.219513984602237
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.087456051805019
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.0837804198362043
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0510035592639026
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0370624113071255
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.0233113865940502
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.0114282096371241
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00673865011278321
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00535332694287535
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.00433695059637165
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.00332736386789209
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.00269622614076614
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.00215178076529486
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.00205092411496259
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.00169740019201048
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0014311153551503
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.00134897260644212
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.00119271806502108
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.00111553537483222
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.00111744644102457
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.00115912318102783
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.000888332186492012
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.000883168074159099
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.000744102764709671
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.000682519335939654
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.000744435094558464
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.000643467027010325
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.00066396128952679
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.000687782022928575
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.000652043560103943
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.000617309277885247
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.000578259823658018
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.000592523768355484
