location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,1.06177798526568e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,1.52103616668173e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,1.53030702572944e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,1.51812078726896e-05
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,1.51823160065804e-05
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,1.53093476374496e-05
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,1.52263919352319e-05
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,1.51692578120745e-05
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,1.51995879005432e-05
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,1.53232137472939e-05
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,1.5165584861315e-05
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,1.54249819800727e-05
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.000188023210927763
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.00802361109701513
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0338470403498002
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0537987055668071
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0863497027711238
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.117197000057821
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.421326939544587
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.118148411886437
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.08574906768583
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0328226474885427
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0236994041321802
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.0100363226141875
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00527517974230025
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.0017633994758903
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,1.51779985129241e-05
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,1.53341072830142e-05
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,1.51606915731568e-05
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,1.5155886487925e-05
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,1.52460799252735e-05
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,1.52936470116672e-05
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,1.51731527274264e-05
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,1.51833829146353e-05
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,1.53065113358892e-05
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,1.52130584483543e-05
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,1.51629700163564e-05
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,1.5196963209487e-05
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,1.53215932491767e-05
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,1.51650682741101e-05
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,1.51670599926436e-05
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,1.5258024980179e-05
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,1.52484172047182e-05
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,1.51558517722019e-05
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,1.51846572971906e-05
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,1.5334621494514e-05
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,1.51904317202915e-05
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,1.51671321756655e-05
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,1.52237460114714e-05
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,1.53000192541638e-05
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,1.51664059529973e-05
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,1.51751441193433e-05
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,1.52848799307726e-05
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,1.52271854146619e-05
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,1.51593062542517e-05
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,1.51763873540374e-05
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,1.53427578597244e-05
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,1.51673706182363e-05
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,1.51721656762961e-05
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,1.52488236885571e-05
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,1.52720889005988e-05
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,1.51638216253605e-05
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,1.51737213473721e-05
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,1.53124683887605e-05
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,1.52039774995865e-05
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,1.51654363254496e-05
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,1.52080172184895e-05
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,1.5315118454581e-05
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,1.51675598508318e-05
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,1.51736034402678e-05
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,1.52706142635255e-05
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,1.52476496517701e-05
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,1.51619805941075e-05
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,1.51715297634067e-05
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,1.53436682038134e-05
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,1.51800645132467e-05
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,1.51695138059344e-05
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,1.52321080639393e-05
