location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.000189364303171965
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,9.85698217817071e-06
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,9.80887235367085e-06
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,2.1072815327482e-05
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,9.91568996694094e-05
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.000905166492607139
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.00386361145672848
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.0309367373501144
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.0750193002440422
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.112872310184093
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.156233312175376
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.231057093955642
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.225152253702605
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.0645999345123235
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0632696567930239
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0232075974743854
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.00462326469839604
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.00390694568556588
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.00183214261056785
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.000842620697800881
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.000327867444081623
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,1.22019449781875e-05
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,9.34362561769015e-06
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,9.33217602967737e-06
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,9.30419728166718e-06
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,9.29828100893301e-06
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,9.28790851271764e-06
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,9.29244222957179e-06
