location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,8.47577599373626e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,9.60323705904846e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.000106815127395895
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.000118673946054332
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.000132352787605715
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.000148158468461953
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.000166241754230384
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00018671815406582
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.000210117241847281
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.000244771107890097
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.000356831374019936
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.00079658950702964
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.0018942902104881
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.00351009977978775
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.00540592555144876
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.00756743122229316
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0202837356475015
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.0383477460714852
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.0640417120493774
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.0752596734153454
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.0755235506455934
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.090456572283765
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.148957431724394
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.117400186578726
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.0553802775109104
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.0590114545751917
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.0444362571810686
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.0398902712435036
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.0425023693543543
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.0361472697305135
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.0167149838780817
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.0119021515409907
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.00874390394974691
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0247971955426949
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.000930117214875308
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.000498888310106858
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.000393587376513301
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.000353498195987452
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.000320581341198054
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.000289409223486563
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.000260036046446114
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.000232732848613391
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.000207693130787015
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.000185023102486118
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.000164756124714195
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.000146854132107076
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.000131229793354082
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.000117750427379175
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.000106255327419582
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,9.65609298588015e-05
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,8.84764393455392e-05
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,8.18059200392244e-05
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,7.63637278194944e-05
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,7.19688073763314e-05
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,6.84587689080473e-05
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,6.56827342102218e-05
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,6.35127108563968e-05
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,6.18310440743326e-05
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,6.05444687623316e-05
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,5.95667390838866e-05
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,5.88342935476467e-05
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,5.82875436602392e-05
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,5.78873388519219e-05
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,5.75942295632575e-05
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,5.7384953887466e-05
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,5.72330826956188e-05
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,5.71281388332984e-05
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,5.70517940544416e-05
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,5.70009930473065e-05
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,5.69643905952823e-05
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,5.6941856006013e-05
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,5.6924211404006e-05
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,5.69142001926725e-05
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,5.69058924071594e-05
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,5.69024716128036e-05
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,5.68982195935529e-05
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,5.68976456465544e-05
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,5.68955105367698e-05
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,5.6895532687236e-05
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,5.68941926323612e-05
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,5.68947594992797e-05
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,5.68937109262056e-05
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,5.68941636688242e-05
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,5.68934690454147e-05
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,5.68941644304775e-05
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,5.68936583883635e-05
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,5.6893945513741e-05
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,5.68938905020888e-05
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,5.68941233027153e-05
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,5.68934326442858e-05
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,5.6893938033867e-05
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,5.68934350667743e-05
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,5.68936868935256e-05
HHS Region 1,1 wk ahead,Bin,percent,9.3,9.4,5.68935632312361e-05
HHS Region 1,1 wk ahead,Bin,percent,9.4,9.5,5.68938908705484e-05
HHS Region 1,1 wk ahead,Bin,percent,9.5,9.6,5.68936302683262e-05
HHS Region 1,1 wk ahead,Bin,percent,9.6,9.7,5.6893994252351e-05
HHS Region 1,1 wk ahead,Bin,percent,9.7,9.8,5.68940603742142e-05
HHS Region 1,1 wk ahead,Bin,percent,9.8,9.9,5.68938509110355e-05
HHS Region 1,1 wk ahead,Bin,percent,9.9,10.0,5.68943290125822e-05
HHS Region 1,1 wk ahead,Bin,percent,10.0,10.1,5.68928745475046e-05
HHS Region 1,1 wk ahead,Bin,percent,10.1,10.2,5.68936574307868e-05
HHS Region 1,1 wk ahead,Bin,percent,10.2,10.3,5.68934995724167e-05
HHS Region 1,1 wk ahead,Bin,percent,10.3,10.4,5.68939750231748e-05
HHS Region 1,1 wk ahead,Bin,percent,10.4,10.5,5.68938457969797e-05
HHS Region 1,1 wk ahead,Bin,percent,10.5,10.6,5.68939556543346e-05
HHS Region 1,1 wk ahead,Bin,percent,10.6,10.7,5.6893603626986e-05
HHS Region 1,1 wk ahead,Bin,percent,10.7,10.8,5.68941319077538e-05
HHS Region 1,1 wk ahead,Bin,percent,10.8,10.9,5.68934596301531e-05
