location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.000206466760936668
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.000207162926449057
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.000207356740352054
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.000207417407943574
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.000207506723351362
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.000207692056587485
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.000208066184341537
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00020879537799795
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.000210171682145157
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.000418019207165276
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.00021709290412999
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.000224592932942013
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.000236909144847638
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.000256417241250868
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.000286235782054641
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.000331332714432207
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.00101084047942924
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.000483125985311075
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.00142500415036082
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.000760782274475038
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00116168922873199
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00160471254650946
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.00232737807011772
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00310064324044532
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00479405100545536
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00855526508528855
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.0110135868644369
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.015540673896597
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.0205075813629298
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.0300552534478151
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.0371624449355379
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.0453547565649692
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0571140287085411
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0666423918836936
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0804783363434157
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.0824842046690861
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0735045404279563
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.0722162590061465
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.0596428741819927
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.0549790490877563
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.0405323599826934
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.0463415891777293
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.0363914906516643
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.0268941575087292
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.0226604208702796
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.011027094990226
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.0133198132817692
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.00571795852734381
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.00607385113618356
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.0103970731628896
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.0111225417592537
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,0.00197383851347565
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,0.00572959839322355
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,0.0027238046032369
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,0.000726673161175947
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,0.000440428551035279
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,0.000369015675629554
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,0.000945327106706735
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,0.000802594612723757
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,0.0014880498930273
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,0.000469886937843324
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,0.000248998729958472
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,0.000236754643154828
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,0.00163327086856293
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,0.000424472047272992
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,0.000214126992389768
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,0.00041642542742975
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,0.000415000882333206
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,0.000208833749690401
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,0.000413587111279295
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,0.000207815190548979
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,0.000207449494627941
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,0.000207345008952307
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,0.000412685986300329
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,0.000207344798925187
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,0.000207345251687653
