location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.000845383144919346
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.000959287235674044
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.00107948758668009
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.00127084676834429
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.0015585566015471
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.00193548973310002
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.0023350166720377
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.00272133419361778
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.00312270513783803
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.00354516745530672
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.00384343236798202
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.00425769212729028
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.0045175649177488
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.00480380113451199
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.00512993654895822
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.00516242249369529
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.00526512519949804
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.00525496750188824
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.00511354535330364
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.00502075241407079
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.00491042334001004
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00486942990249995
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.00532473096538991
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00605981865567711
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00554251478806173
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00572173064025
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.0067350613892161
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.00679460693802951
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.00568836401434201
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.00468858491804043
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.00433109535958085
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.00480443563070091
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.00562831856799876
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.00621631563353745
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.00661299682921067
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.00727236471006953
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0087329262431746
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.00991169682622277
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.0145497619328866
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.0111393187107192
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.00845629925229845
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.00778954680897279
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.00851474893063055
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.0111390318289157
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.0124746367245671
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.0180679571317251
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.0253575794446506
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.0296392007578877
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.0288024011418369
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.0330021776362198
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.0415219021404827
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,0.0412584805352302
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,0.0436624469648763
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,0.0383081855275139
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,0.0458653209722818
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,0.0406397479019666
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,0.0308689574428447
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,0.0442698618725155
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,0.0317130843032481
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,0.042694877530222
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,0.0157907406432355
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,0.0184542665318626
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,0.018582955426984
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,0.015434258408997
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,0.0117948639188226
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,0.016096435072204
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,0.0123073975221491
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,0.012930989343615
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,0.0115459674992986
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,0.0088512941398659
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,0.00526670278959345
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,0.00425125343661643
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,0.00339272058939291
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,0.00346330682482821
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,0.00285857927502304
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,0.00326184674311528
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,0.00219438002231933
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,0.00209509812317544
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,0.00180291315079283
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,0.00206577069845651
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,0.00194333673251475
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,0.00134555528906493
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,0.00156019817988851
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,0.00112648449713414
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,0.00109996882908963
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,0.00132017288016365
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,0.00105380761862174
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,0.000954326262710211
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,0.00101618969580557
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,0.000843707636562162
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,0.000981212798571799
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,0.0009630244475633
