location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,0.000169521402458593
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,0.000184870996777817
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,0.000199719598359197
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,0.000221811607354193
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,0.000254144289293843
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,0.000296071759803675
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,0.00034061730569772
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,0.000384014620006969
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,0.000429265828355309
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,0.000476987296973673
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,0.000511759020115435
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,0.00055895791155389
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.000589866048653837
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.000623956721555501
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.000663943032075167
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.000669101697287055
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.000785156125743782
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.000786415267240519
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.000669681967904584
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.000661549684698274
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.000651419843516771
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.00075408574245703
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.00071154531741919
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.000807019034844497
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.000749617005919541
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.000983670884406416
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.000910062173423328
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.000926023270252985
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.00100633254741317
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.000691496955572117
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.00066134235506708
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.000837180869397729
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.000955136568014543
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.00114853935295839
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.00121738154444773
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.00111378692756328
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.00131314934160979
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.00157950943659857
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.00527765244111181
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,0.00324169625043424
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,0.00201273176585137
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,0.00136824754066107
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,0.00216027001468441
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,0.00418819596736418
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,0.00548334282555907
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,0.00996314749089192
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,0.0163774516110525
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,0.0218543415924419
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,0.0261135469291919
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,0.0337159724092473
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,0.0467881593263897
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,0.056050902180526
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,0.0644163112833721
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,0.0636217223327992
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,0.0685471641628871
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,0.0626445761292776
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,0.0526283917372446
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,0.0629968499963839
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,0.0523053459804322
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,0.0551333018770242
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,0.028858216963413
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,0.0278546268794578
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,0.0276104169480177
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,0.0249717567358409
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,0.0207719416394591
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,0.0228062527000756
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,0.0180739609385775
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,0.0159522198942117
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,0.0130159728847773
HHS Region 1,1 wk ahead,Bin,percent,6.9,7.0,0.0099320172406076
HHS Region 1,1 wk ahead,Bin,percent,7.0,7.1,0.00575847769672891
HHS Region 1,1 wk ahead,Bin,percent,7.1,7.2,0.00437157719591003
HHS Region 1,1 wk ahead,Bin,percent,7.2,7.3,0.00319898332027728
HHS Region 1,1 wk ahead,Bin,percent,7.3,7.4,0.00330756871125123
HHS Region 1,1 wk ahead,Bin,percent,7.4,7.5,0.00254376427640178
HHS Region 1,1 wk ahead,Bin,percent,7.5,7.6,0.00316783619377338
HHS Region 1,1 wk ahead,Bin,percent,7.6,7.7,0.00178484491978444
HHS Region 1,1 wk ahead,Bin,percent,7.7,7.8,0.00167217548838912
HHS Region 1,1 wk ahead,Bin,percent,7.8,7.9,0.00130209587536701
HHS Region 1,1 wk ahead,Bin,percent,7.9,8.0,0.00171852817129256
HHS Region 1,1 wk ahead,Bin,percent,8.0,8.1,0.00159894834221018
HHS Region 1,1 wk ahead,Bin,percent,8.1,8.2,0.000782811855520047
HHS Region 1,1 wk ahead,Bin,percent,8.2,8.3,0.00113811847703546
HHS Region 1,1 wk ahead,Bin,percent,8.3,8.4,0.000547077492047766
HHS Region 1,1 wk ahead,Bin,percent,8.4,8.5,0.000541964904717135
HHS Region 1,1 wk ahead,Bin,percent,8.5,8.6,0.000874506674089567
HHS Region 1,1 wk ahead,Bin,percent,8.6,8.7,0.000532815990497192
HHS Region 1,1 wk ahead,Bin,percent,8.7,8.8,0.000416485229639209
HHS Region 1,1 wk ahead,Bin,percent,8.8,8.9,0.000524929038920597
HHS Region 1,1 wk ahead,Bin,percent,8.9,9.0,0.000297240213276266
HHS Region 1,1 wk ahead,Bin,percent,9.0,9.1,0.000517659830398146
HHS Region 1,1 wk ahead,Bin,percent,9.1,9.2,0.000514070241644615
HHS Region 1,1 wk ahead,Bin,percent,9.2,9.3,0.000287499827832637
HHS Region 1,1 wk ahead,Bin,percent,9.3,9.4,0.00039710473061745
HHS Region 1,1 wk ahead,Bin,percent,9.4,9.5,0.000394765389343513
HHS Region 1,1 wk ahead,Bin,percent,9.5,9.6,0.000393412206248951
HHS Region 1,1 wk ahead,Bin,percent,9.6,9.7,0.000279816147302515
