location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,2.51639157384482e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,2.8147299132779e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,2.95530925796043e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,2.99889605315448e-05
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,3.00770916668747e-05
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,3.00912606311507e-05
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,3.00953465063886e-05
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,3.00927890049765e-05
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,7.9119887089818e-05
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,3.00888137577804e-05
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,3.00931683867573e-05
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,3.0096524825737e-05
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,7.91231348088091e-05
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,3.00888486024008e-05
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.000177179191616568
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.000128154180068481
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.000226218299255749
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,3.00926005661818e-05
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.000275241793866576
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,3.01642930495639e-05
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,3.17061302097743e-05
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.0003938058491809
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.000467892210618128
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00286700853723534
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.00832708591529192
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.0187118051965076
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.0383389732327324
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.0649772850426023
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.0810895081810752
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.087291554295115
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.0804684072288929
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.0651349167084628
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0547095418244576
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0473365492381587
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0489940956975517
