location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,7.43350644307805e-06
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,9.30367680665789e-06
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,9.35892517971548e-06
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,9.27172172571947e-06
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,9.27424840348254e-06
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,9.36783730582736e-06
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,9.31004479954922e-06
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,9.27119144545462e-06
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,9.29695721455599e-06
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,9.39131632284906e-06
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,9.28145673227828e-06
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,9.48636433116076e-06
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,0.00013418600246937
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,0.00579281524192774
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.0244415621013008
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,0.0388499414209974
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,0.0878734963093551
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.10483787119008
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.209138436012231
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.204397504564575
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.155483414183579
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.06197634098956
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.0553878614272845
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.0285099041014803
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.016566081874239
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00552452536088075
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,9.28862747135206e-06
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,9.39863222240399e-06
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,9.26936068505833e-06
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,9.26580504257114e-06
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,9.32282105292505e-06
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,9.3561734647949e-06
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,9.26975561713661e-06
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,9.27805775934054e-06
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,9.36783632263051e-06
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,9.30190429676761e-06
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,9.26769543893055e-06
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,9.29121007808839e-06
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,9.38139931062476e-06
HHS Region 1,1 wk ahead,Bin,percent,3.9,4.0,9.26886687366587e-06
HHS Region 1,1 wk ahead,Bin,percent,4.0,4.1,9.27075253573535e-06
HHS Region 1,1 wk ahead,Bin,percent,4.1,4.2,9.33680320204194e-06
HHS Region 1,1 wk ahead,Bin,percent,4.2,4.3,9.33016203784813e-06
HHS Region 1,1 wk ahead,Bin,percent,4.3,4.4,9.26353726802043e-06
HHS Region 1,1 wk ahead,Bin,percent,4.4,4.5,9.27863274504356e-06
HHS Region 1,1 wk ahead,Bin,percent,4.5,4.6,9.38709008357137e-06
HHS Region 1,1 wk ahead,Bin,percent,4.6,4.7,9.2836435217207e-06
HHS Region 1,1 wk ahead,Bin,percent,4.7,4.8,9.2674209921592e-06
HHS Region 1,1 wk ahead,Bin,percent,4.8,4.9,9.30884438618833e-06
HHS Region 1,1 wk ahead,Bin,percent,4.9,5.0,9.36439379780796e-06
HHS Region 1,1 wk ahead,Bin,percent,5.0,5.1,9.26830170370012e-06
HHS Region 1,1 wk ahead,Bin,percent,5.1,5.2,9.2749462350212e-06
HHS Region 1,1 wk ahead,Bin,percent,5.2,5.3,9.35445640965399e-06
HHS Region 1,1 wk ahead,Bin,percent,5.3,5.4,9.3129853194524e-06
HHS Region 1,1 wk ahead,Bin,percent,5.4,5.5,9.26409149533296e-06
HHS Region 1,1 wk ahead,Bin,percent,5.5,5.6,9.27648158281145e-06
HHS Region 1,1 wk ahead,Bin,percent,5.6,5.7,9.39662091680592e-06
HHS Region 1,1 wk ahead,Bin,percent,5.7,5.8,9.26988376878668e-06
HHS Region 1,1 wk ahead,Bin,percent,5.8,5.9,9.27157595183493e-06
HHS Region 1,1 wk ahead,Bin,percent,5.9,6.0,9.32692438590017e-06
HHS Region 1,1 wk ahead,Bin,percent,6.0,6.1,9.34409005640393e-06
HHS Region 1,1 wk ahead,Bin,percent,6.1,6.2,9.26619927319805e-06
HHS Region 1,1 wk ahead,Bin,percent,6.2,6.3,9.27357592906136e-06
HHS Region 1,1 wk ahead,Bin,percent,6.3,6.4,9.37393377183077e-06
HHS Region 1,1 wk ahead,Bin,percent,6.4,6.5,9.29567663211097e-06
HHS Region 1,1 wk ahead,Bin,percent,6.5,6.6,9.26720713981786e-06
HHS Region 1,1 wk ahead,Bin,percent,6.6,6.7,9.29801363755357e-06
HHS Region 1,1 wk ahead,Bin,percent,6.7,6.8,9.37535829762429e-06
HHS Region 1,1 wk ahead,Bin,percent,6.8,6.9,9.26879654315814e-06
