location,target,type,unit,bin_start_incl,bin_end_notincl,value
HHS Region 1,1 wk ahead,Bin,percent,0.0,0.1,2.03885027276645e-05
HHS Region 1,1 wk ahead,Bin,percent,0.1,0.2,2.20141918743566e-05
HHS Region 1,1 wk ahead,Bin,percent,0.2,0.3,2.28359656718116e-05
HHS Region 1,1 wk ahead,Bin,percent,0.3,0.4,2.32712614901907e-05
HHS Region 1,1 wk ahead,Bin,percent,0.4,0.5,2.35018337052615e-05
HHS Region 1,1 wk ahead,Bin,percent,0.5,0.6,2.36166138927288e-05
HHS Region 1,1 wk ahead,Bin,percent,0.6,0.7,2.36644686086857e-05
HHS Region 1,1 wk ahead,Bin,percent,0.7,0.8,2.36867623225066e-05
HHS Region 1,1 wk ahead,Bin,percent,0.8,0.9,2.36985980487928e-05
HHS Region 1,1 wk ahead,Bin,percent,0.9,1.0,2.37154013586322e-05
HHS Region 1,1 wk ahead,Bin,percent,1.0,1.1,2.37293495316092e-05
HHS Region 1,1 wk ahead,Bin,percent,1.1,1.2,2.37559585966403e-05
HHS Region 1,1 wk ahead,Bin,percent,1.2,1.3,2.37879185513093e-05
HHS Region 1,1 wk ahead,Bin,percent,1.3,1.4,2.38288316269009e-05
HHS Region 1,1 wk ahead,Bin,percent,1.4,1.5,0.000562943920174661
HHS Region 1,1 wk ahead,Bin,percent,1.5,1.6,2.39179876466736e-05
HHS Region 1,1 wk ahead,Bin,percent,1.6,1.7,2.39607996643224e-05
HHS Region 1,1 wk ahead,Bin,percent,1.7,1.8,0.000293532621335533
HHS Region 1,1 wk ahead,Bin,percent,1.8,1.9,0.000832632439843303
HHS Region 1,1 wk ahead,Bin,percent,1.9,2.0,0.000563112898246132
HHS Region 1,1 wk ahead,Bin,percent,2.0,2.1,0.000832656274864525
HHS Region 1,1 wk ahead,Bin,percent,2.1,2.2,0.000563108652867993
HHS Region 1,1 wk ahead,Bin,percent,2.2,2.3,0.000363816757744395
HHS Region 1,1 wk ahead,Bin,percent,2.3,2.4,0.00400399453209481
HHS Region 1,1 wk ahead,Bin,percent,2.4,2.5,0.000164688147648939
HHS Region 1,1 wk ahead,Bin,percent,2.5,2.6,0.00327798867553313
HHS Region 1,1 wk ahead,Bin,percent,2.6,2.7,0.00435057678337195
HHS Region 1,1 wk ahead,Bin,percent,2.7,2.8,0.00865115344060757
HHS Region 1,1 wk ahead,Bin,percent,2.8,2.9,0.0184812713814017
HHS Region 1,1 wk ahead,Bin,percent,2.9,3.0,0.0256775386321003
HHS Region 1,1 wk ahead,Bin,percent,3.0,3.1,0.0314130755807326
HHS Region 1,1 wk ahead,Bin,percent,3.1,3.2,0.0411466720183776
HHS Region 1,1 wk ahead,Bin,percent,3.2,3.3,0.0439079853039849
HHS Region 1,1 wk ahead,Bin,percent,3.3,3.4,0.0737501810955088
HHS Region 1,1 wk ahead,Bin,percent,3.4,3.5,0.0906439304135185
HHS Region 1,1 wk ahead,Bin,percent,3.5,3.6,0.0901786026684235
HHS Region 1,1 wk ahead,Bin,percent,3.6,3.7,0.0801967888154498
HHS Region 1,1 wk ahead,Bin,percent,3.7,3.8,0.0716254696979262
HHS Region 1,1 wk ahead,Bin,percent,3.8,3.9,0.06420107349562
