model,season,region,score,oneWk,twoWk,threeWk,fourWk
CU-BMA,2010-2011,nat,mae,0.43810714285714286,0.412357142857143,0.47007142857142875,0.48485714285714293
CU-BMA,2010-2011,nat,log,-3.0865938138510054,-3.466167382201751,-3.680250288552128,-3.890063031948784
CU-EAKFC,2010-2011,nat,mae,0.3911071428571429,0.4643571428571428,0.48864285714285716,0.5530714285714285
CU-EAKFC,2010-2011,nat,log,-4.3316266073711835,-5.195825180416689,-5.303918118742507,-5.791397391879808
Delphi-BasisRegression,2010-2011,nat,mae,0.4074545454545455,0.48193939393939395,0.5184545454545454,0.5347878787878788
Delphi-BasisRegression,2010-2011,nat,log,-4.698842929115895,-4.701797338453783,-4.703673605195311,-4.703487343698939
Delphi-DeltaDensity1,2010-2011,nat,mae,0.2537575757575758,0.31072727272727274,0.31881818181818394,0.3300606060606082
Delphi-DeltaDensity1,2010-2011,nat,log,-2.562247944769626,-2.6773060821470835,-2.721511928126036,-2.725322213488544
Delphi-DeltaDensity2,2010-2011,nat,mae,0.25660606060606067,0.35412121212121234,0.44233333333333347,0.4830303030303052
Delphi-DeltaDensity2,2010-2011,nat,log,-3.1562200126286433,-3.262441453605267,-3.0410388685562335,-2.9368554514002714
Delphi-EmpiricalBayes1,2010-2011,nat,mae,0.22672727272727267,0.2507272727272727,0.3088181818181818,0.30278787878787883
Delphi-EmpiricalBayes1,2010-2011,nat,log,-3.70806242377576,-3.8352371047011267,-3.9978237550799185,-3.9017366464904297
Delphi-EmpiricalBayes2,2010-2011,nat,mae,0.24957575757575765,0.2946060606060606,0.31972727272727275,0.29509090909090907
Delphi-EmpiricalBayes2,2010-2011,nat,log,-3.9523201038298,-4.246306416815582,-4.000658639749629,-3.964730776050979
Delphi-EmpiricalFuture,2010-2011,nat,mae,0.3721212121212122,0.3733939393939395,0.3756060606060608,0.3782424242424243
Delphi-EmpiricalFuture,2010-2011,nat,log,-3.8706097097614527,-3.856428075708458,-3.840783523624536,-3.825128948663804
Delphi-EmpiricalTraj,2010-2011,nat,mae,0.3721212121212122,0.3733939393939395,0.3756060606060608,0.3782424242424243
Delphi-EmpiricalTraj,2010-2011,nat,log,-3.8706097097614527,-3.856428075708458,-3.840783523624536,-3.825128948663804
Delphi-Stat,2010-2011,nat,mae,0.22688173175216017,0.2638459181587598,0.28528057316601874,0.3187549942083141
Delphi-Stat,2010-2011,nat,log,-2.563294535857279,-2.712014374791643,-2.7539639514711323,-2.7495186489542367
