target,location,forecast_week,bin_start_incl
Season onset,HHS Region 1,NA,47.0
Season peak week,HHS Region 1,NA,6.0
Season peak percentage,HHS Region 1,NA,5.8
Season onset,HHS Region 10,NA,51.0
Season peak week,HHS Region 10,NA,1.0
Season peak percentage,HHS Region 10,NA,4.8
Season onset,HHS Region 2,NA,49.0
Season peak week,HHS Region 2,NA,6.0
Season peak percentage,HHS Region 2,NA,10.4
Season onset,HHS Region 3,NA,51.0
Season peak week,HHS Region 3,NA,6.0
Season peak percentage,HHS Region 3,NA,7.5
Season onset,HHS Region 4,NA,45.0
Season peak week,HHS Region 4,NA,5.0
Season peak percentage,HHS Region 4,NA,9.3
Season onset,HHS Region 5,NA,49.0
Season peak week,HHS Region 5,NA,6.0
Season peak percentage,HHS Region 5,NA,5.8
Season onset,HHS Region 6,NA,48.0
Season peak week,HHS Region 6,NA,4.0
Season peak percentage,HHS Region 6,NA,12.7
Season onset,HHS Region 7,NA,49.0
Season peak week,HHS Region 7,NA,4.0
Season peak percentage,HHS Region 7,NA,8.9
Season onset,HHS Region 8,NA,50.0
Season peak week,HHS Region 8,NA,5.0
Season peak percentage,HHS Region 8,NA,3.3
Season onset,HHS Region 9,NA,49.0
Season peak week,HHS Region 9,NA,52.0
Season peak percentage,HHS Region 9,NA,7.0
Season onset,US National,NA,47.0
Season peak week,US National,NA,5.0
Season peak percentage,US National,NA,7.5
1 wk ahead,US National,43,1.7
1 wk ahead,HHS Region 1,43,1.0
1 wk ahead,HHS Region 2,43,2.4
1 wk ahead,HHS Region 3,43,1.2
1 wk ahead,HHS Region 4,43,1.8
1 wk ahead,HHS Region 5,43,1.2
1 wk ahead,HHS Region 6,43,2.9
1 wk ahead,HHS Region 7,43,1.2
1 wk ahead,HHS Region 8,43,0.7
1 wk ahead,HHS Region 9,43,2.0
1 wk ahead,HHS Region 10,43,1.0
1 wk ahead,US National,44,1.9
1 wk ahead,HHS Region 1,44,1.1
1 wk ahead,HHS Region 2,44,2.4
1 wk ahead,HHS Region 3,44,1.3
1 wk ahead,HHS Region 4,44,2.1
1 wk ahead,HHS Region 5,44,1.3
