model-dir,url,Team-name,Zoltar-model-name-updated
CUBMA,https://github.com/FluSightNetwork/cdc-flusight-ensemble/tree/master/model-forecasts/component-models/CUBMA,Columbia,Bayesian Model Averaging
CU_EAKFC_SEIRS,https://github.com/FluSightNetwork/cdc-flusight-ensemble/tree/master/model-forecasts/component-models/CU_EAKFC_SEIRS,Columbia,Ensemble Adjustment Kalman Filter SEIRS
CU_EAKFC_SIRS,https://github.com/FluSightNetwork/cdc-flusight-ensemble/tree/master/model-forecasts/component-models/CU_EAKFC_SIRS,Columbia,Ensemble Adjustment Kalman Filter SIRS
CU_EKF_SEIRS,https://github.com/FluSightNetwork/cdc-flusight-ensemble/tree/master/model-forecasts/component-models/CU_EKF_SEIRS,Columbia,Ensemble Kalman Filter SEIRS
CU_EKF_SIRS,https://github.com/FluSightNetwork/cdc-flusight-ensemble/tree/master/model-forecasts/component-models/CU_EKF_SIRS,Columbia,Ensemble Kalman Filter SIRS
CU_RHF_SEIRS,https://github.com/FluSightNetwork/cdc-flusight-ensemble/tree/master/model-forecasts/component-models/CU_RHF_SEIRS,Columbia,Rank Histogram Filter SEIRS
CU_RHF_SIRS,https://github.com/FluSightNetwork/cdc-flusight-ensemble/tree/master/model-forecasts/component-models/CU_RHF_SIRS,Columbia,Rank Histogram Filter SIRS
Delphi_Uniform,https://github.com/FluSightNetwork/cdc-flusight-ensemble/tree/master/model-forecasts/component-models/Delphi_Uniform,Delphi,Uniform Distribution
ReichLab_kcde,https://github.com/FluSightNetwork/cdc-flusight-ensemble/tree/master/model-forecasts/component-models/ReichLab_kcde,ReichLab,Kernel Conditional Density Estimation
ReichLab_kde,https://github.com/FluSightNetwork/cdc-flusight-ensemble/tree/master/model-forecasts/component-models/ReichLab_kde,ReichLab,Kernel Density Estimation
ReichLab_sarima_seasonal_difference_FALSE,https://github.com/FluSightNetwork/cdc-flusight-ensemble/tree/master/model-forecasts/component-models/ReichLab_sarima_seasonal_difference_FALSE,ReichLab,SARIMA model without seasonal differencing
ReichLab_sarima_seasonal_difference_TRUE,https://github.com/FluSightNetwork/cdc-flusight-ensemble/tree/master/model-forecasts/component-models/ReichLab_sarima_seasonal_difference_TRUE,ReichLab,SARIMA model with seasonal differencing
