component_model_id,season,weight
CU-BMA,2010/2011,0.0476190476190476
CU-EAKFC_SEIRS,2010/2011,0.0476190476190476
CU-EAKFC_SIRS,2010/2011,0.0476190476190476
CU-EKF_SEIRS,2010/2011,0.0476190476190476
CU-EKF_SIRS,2010/2011,0.0476190476190476
CU-RHF_SEIRS,2010/2011,0.0476190476190476
CU-RHF_SIRS,2010/2011,0.0476190476190476
Delphi-BasisRegression,2010/2011,0.0476190476190476
Delphi-DeltaDensity1,2010/2011,0.0476190476190476
Delphi-EmpiricalBayes1,2010/2011,0.0476190476190476
Delphi-EmpiricalBayes2,2010/2011,0.0476190476190476
Delphi-EmpiricalFuture,2010/2011,0.0476190476190476
Delphi-EmpiricalTraj,2010/2011,0.0476190476190476
Delphi-DeltaDensity2,2010/2011,0.0476190476190476
Delphi-Stat,2010/2011,0.0476190476190476
Delphi-Uniform,2010/2011,0.0476190476190476
LANL-DBM,2010/2011,0.0476190476190476
ReichLab-KCDE,2010/2011,0.0476190476190476
ReichLab-KDE,2010/2011,0.0476190476190476
ReichLab-SARIMA1,2010/2011,0.0476190476190476
ReichLab-SARIMA2,2010/2011,0.0476190476190476
CU-BMA,2011/2012,0.0476190476190476
CU-EAKFC_SEIRS,2011/2012,0.0476190476190476
CU-EAKFC_SIRS,2011/2012,0.0476190476190476
CU-EKF_SEIRS,2011/2012,0.0476190476190476
CU-EKF_SIRS,2011/2012,0.0476190476190476
CU-RHF_SEIRS,2011/2012,0.0476190476190476
CU-RHF_SIRS,2011/2012,0.0476190476190476
Delphi-BasisRegression,2011/2012,0.0476190476190476
Delphi-DeltaDensity1,2011/2012,0.0476190476190476
Delphi-EmpiricalBayes1,2011/2012,0.0476190476190476
Delphi-EmpiricalBayes2,2011/2012,0.0476190476190476
Delphi-EmpiricalFuture,2011/2012,0.0476190476190476
Delphi-EmpiricalTraj,2011/2012,0.0476190476190476
Delphi-DeltaDensity2,2011/2012,0.0476190476190476
Delphi-Stat,2011/2012,0.0476190476190476
Delphi-Uniform,2011/2012,0.0476190476190476
LANL-DBM,2011/2012,0.0476190476190476
ReichLab-KCDE,2011/2012,0.0476190476190476
ReichLab-KDE,2011/2012,0.0476190476190476
ReichLab-SARIMA1,2011/2012,0.0476190476190476
ReichLab-SARIMA2,2011/2012,0.0476190476190476
CU-BMA,2012/2013,0.0476190476190476
