component_model_id,season,location,target,weight
CU-BMA,2010/20112019/2020,US National,Season onset,0.23940655353418586
FluOutlook-Mech,2010/20112019/2020,US National,Season onset,0.021730685680085664
FluOutlook-MechAug,2010/20112019/2020,US National,Season onset,0.029288279285303764
FluX-ARLR,2010/20112019/2020,US National,Season onset,0.010056456272440164
FluX-FluX_LSTM,2010/20112019/2020,US National,Season onset,0.0560158075727288
LANL-DBMplus,2010/20112019/2020,US National,Season onset,0.1467993016137262
Protea-Cheetah,2010/20112019/2020,US National,Season onset,0.13625482752087217
Protea-Kudu,2010/20112019/2020,US National,Season onset,0.010860115880114058
Protea-Springbok,2010/20112019/2020,US National,Season onset,0.2938727905890577
ReichLab-KCDE_NB,2010/20112019/2020,US National,Season onset,0.038380159566631135
UA-EpiCos,2010/20112019/2020,US National,Season onset,0.01733502248485469
CU-BMA,2010/20112019/2020,US National,Season peak week,0.23216715791426343
FluOutlook-Mech,2010/20112019/2020,US National,Season peak week,0.01579354020387093
FluOutlook-MechAug,2010/20112019/2020,US National,Season peak week,0.015563381710198764
FluX-ARLR,2010/20112019/2020,US National,Season peak week,0.010695655385533595
FluX-FluX_LSTM,2010/20112019/2020,US National,Season peak week,0.03197750102517294
LANL-DBMplus,2010/20112019/2020,US National,Season peak week,0.4558122549336688
Protea-Cheetah,2010/20112019/2020,US National,Season peak week,0.047129861874018984
Protea-Kudu,2010/20112019/2020,US National,Season peak week,0.013149946183770743
Protea-Springbok,2010/20112019/2020,US National,Season peak week,0.060157300524306324
ReichLab-KCDE_NB,2010/20112019/2020,US National,Season peak week,0.10000629036146928
UA-EpiCos,2010/20112019/2020,US National,Season peak week,0.017547109883726115
CU-BMA,2010/20112019/2020,US National,Season peak percentage,0.057542545264269516
FluOutlook-Mech,2010/20112019/2020,US National,Season peak percentage,0.02246171899123051
FluOutlook-MechAug,2010/20112019/2020,US National,Season peak percentage,0.02303714238390593
FluX-ARLR,2010/20112019/2020,US National,Season peak percentage,0.010176465403343066
FluX-FluX_LSTM,2010/20112019/2020,US National,Season peak percentage,0.023174011796500072
LANL-DBMplus,2010/20112019/2020,US National,Season peak percentage,0.4316484269613181
Protea-Cheetah,2010/20112019/2020,US National,Season peak percentage,0.030633410409631884
Protea-Kudu,2010/20112019/2020,US National,Season peak percentage,0.013041640187951025
Protea-Springbok,2010/20112019/2020,US National,Season peak percentage,0.17444747691455786
ReichLab-KCDE_NB,2010/20112019/2020,US National,Season peak percentage,0.18467391784273193
UA-EpiCos,2010/20112019/2020,US National,Season peak percentage,0.029163243844560077
CU-BMA,2010/20112019/2020,US National,1 wk ahead,0.02523958478153041
FluOutlook-Mech,2010/20112019/2020,US National,1 wk ahead,0.03428741503370645
FluOutlook-MechAug,2010/20112019/2020,US National,1 wk ahead,0.1271570244180417
FluX-ARLR,2010/20112019/2020,US National,1 wk ahead,0.04239962430597547
FluX-FluX_LSTM,2010/20112019/2020,US National,1 wk ahead,0.01816785290079125
LANL-DBMplus,2010/20112019/2020,US National,1 wk ahead,0.1552598489831628
Protea-Cheetah,2010/20112019/2020,US National,1 wk ahead,0.19726820228436065
Protea-Kudu,2010/20112019/2020,US National,1 wk ahead,0.016244428580675555
Protea-Springbok,2010/20112019/2020,US National,1 wk ahead,0.2269376219129746
