component_model_id,season,location,target,weight
CU-BMA,2010/2011,US National,Season onset,0.11799515594432018
CU-EAKFC_SEIRS,2010/2011,US National,Season onset,0.004968238913908093
CU-EAKFC_SIRS,2010/2011,US National,Season onset,0.00505824927205098
CU-EKF_SEIRS,2010/2011,US National,Season onset,0.005537706888414511
CU-EKF_SIRS,2010/2011,US National,Season onset,0.005933156240860402
CU-RHF_SEIRS,2010/2011,US National,Season onset,0.0049292288316042385
CU-RHF_SIRS,2010/2011,US National,Season onset,0.004936182697868329
Delphi-BasisRegression,2010/2011,US National,Season onset,0.004727653440721337
Delphi-DeltaDensity1,2010/2011,US National,Season onset,0.0051400014046204465
Delphi-DeltaDensity2,2010/2011,US National,Season onset,0.005586890230806544
Delphi-EmpiricalFuture,2010/2011,US National,Season onset,0.00416459535389976
Delphi-EmpiricalTraj,2010/2011,US National,Season onset,0.0040167646570216636
Delphi-Uniform,2010/2011,US National,Season onset,0.003745407978009718
FluOutlook-Mech,2010/2011,US National,Season onset,0.0049272256212146695
FluOutlook-MechAug,2010/2011,US National,Season onset,0.0617443165833771
FluX-ARLR,2010/2011,US National,Season onset,0.003745407978009718
FluX-FluX_LSTM,2010/2011,US National,Season onset,0.005113858463956608
LANL-DBMplus,2010/2011,US National,Season onset,0.07526182831212748
Protea-Cheetah,2010/2011,US National,Season onset,0.006603216157413596
Protea-Kudu,2010/2011,US National,Season onset,0.0037392787694094484
Protea-Springbok,2010/2011,US National,Season onset,0.6325283197593443
ReichLab-KCDE_NB,2010/2011,US National,Season onset,0.0052369484223006154
ReichLab-KCDE_PHB,2010/2011,US National,Season onset,0.005109755522694366
ReichLab-KDE,2010/2011,US National,Season onset,0.0038773108115514494
ReichLab-SARIMA1,2010/2011,US National,Season onset,0.005195935089701124
ReichLab-SARIMA2,2010/2011,US National,Season onset,0.006100181450765649
UA-EpiCos,2010/2011,US National,Season onset,0.0040771852040274075
CU-BMA,2010/2011,US National,Season peak week,0.03192774033187766
CU-EAKFC_SEIRS,2010/2011,US National,Season peak week,0.06153114408646699
CU-EAKFC_SIRS,2010/2011,US National,Season peak week,0.018274230653184568
CU-EKF_SEIRS,2010/2011,US National,Season peak week,0.05076112796326125
CU-EKF_SIRS,2010/2011,US National,Season peak week,0.016959378878798087
CU-RHF_SEIRS,2010/2011,US National,Season peak week,0.07407424495001204
CU-RHF_SIRS,2010/2011,US National,Season peak week,0.020450537427866494
Delphi-BasisRegression,2010/2011,US National,Season peak week,0.01065417650989317
