component_model_id,season,location,target,weight
CU-BMA,2010/2011,HHS Region 1,1 wk ahead,9.39132446944847e-14
CU-EAKFC_SEIRS,2010/2011,HHS Region 1,1 wk ahead,0.0495030324098618
CU-EAKFC_SIRS,2010/2011,HHS Region 1,1 wk ahead,0.0495030324098618
CU-EKF_SEIRS,2010/2011,HHS Region 1,1 wk ahead,0.0495030324098618
CU-EKF_SIRS,2010/2011,HHS Region 1,1 wk ahead,0.0495030324098618
CU-RHF_SEIRS,2010/2011,HHS Region 1,1 wk ahead,0.0495030324098618
CU-RHF_SIRS,2010/2011,HHS Region 1,1 wk ahead,0.0495030324098618
Delphi-BasisRegression,2010/2011,HHS Region 1,1 wk ahead,1.97090876564604e-26
Delphi-DeltaDensity1,2010/2011,HHS Region 1,1 wk ahead,0.389039297685693
Delphi-DeltaDensity2,2010/2011,HHS Region 1,1 wk ahead,0.164944072688983
Delphi-EmpiricalBayes1,2010/2011,HHS Region 1,1 wk ahead,0.1489984343174
Delphi-EmpiricalBayes2,2010/2011,HHS Region 1,1 wk ahead,6.20588565226917e-34
Delphi-EmpiricalFuture,2010/2011,HHS Region 1,1 wk ahead,9.35106410999491e-134
Delphi-EmpiricalTraj,2010/2011,HHS Region 1,1 wk ahead,9.35106410999491e-134
Delphi-Stat,2010/2011,HHS Region 1,1 wk ahead,8.32653934052951e-10
Delphi-Uniform,2010/2011,HHS Region 1,1 wk ahead,2.88901945570452e-302
LANL-DBM,2010/2011,HHS Region 1,1 wk ahead,2.19191419622052e-31
ReichLab-KCDE,2010/2011,HHS Region 1,1 wk ahead,1.60047280445426e-11
ReichLab-KDE,2010/2011,HHS Region 1,1 wk ahead,4.75855464664688e-97
ReichLab-SARIMA1,2010/2011,HHS Region 1,1 wk ahead,2.9087753069732e-23
ReichLab-SARIMA2,2010/2011,HHS Region 1,1 wk ahead,3.43270882788973e-31
CU-BMA,2011/2012,HHS Region 1,1 wk ahead,1.00344389892534e-09
CU-EAKFC_SEIRS,2011/2012,HHS Region 1,1 wk ahead,0.0245990369646055
CU-EAKFC_SIRS,2011/2012,HHS Region 1,1 wk ahead,0.0245990369646055
CU-EKF_SEIRS,2011/2012,HHS Region 1,1 wk ahead,0.0245990369646055
CU-EKF_SIRS,2011/2012,HHS Region 1,1 wk ahead,0.0245990369646055
CU-RHF_SEIRS,2011/2012,HHS Region 1,1 wk ahead,0.0245990369646055
CU-RHF_SIRS,2011/2012,HHS Region 1,1 wk ahead,0.0245990369646055
Delphi-BasisRegression,2011/2012,HHS Region 1,1 wk ahead,2.71878653414454e-16
Delphi-DeltaDensity1,2011/2012,HHS Region 1,1 wk ahead,0.391366037733252
Delphi-DeltaDensity2,2011/2012,HHS Region 1,1 wk ahead,0.136650188821205
Delphi-EmpiricalBayes1,2011/2012,HHS Region 1,1 wk ahead,0.324388410806646
Delphi-EmpiricalBayes2,2011/2012,HHS Region 1,1 wk ahead,4.43634855051541e-19
