component_model_id,season,target,weight
CU-BMA,2010/2011,1 wk ahead,2.6777820287215e-07
CU-EAKFC_SEIRS,2010/2011,1 wk ahead,0.101636351757731
CU-EAKFC_SIRS,2010/2011,1 wk ahead,0.101636351757731
CU-EKF_SEIRS,2010/2011,1 wk ahead,0.101636351757731
CU-EKF_SIRS,2010/2011,1 wk ahead,0.101636351757731
CU-RHF_SEIRS,2010/2011,1 wk ahead,0.101636351757731
CU-RHF_SIRS,2010/2011,1 wk ahead,0.101636351757731
Delphi-BasisRegression,2010/2011,1 wk ahead,1.69473117155045e-128
Delphi-DeltaDensity1,2010/2011,1 wk ahead,0.241016650263221
Delphi-DeltaDensity2,2010/2011,1 wk ahead,0.0927055521183257
Delphi-EmpiricalBayes1,2010/2011,1 wk ahead,0.0564561460543078
Delphi-EmpiricalBayes2,2010/2011,1 wk ahead,8.90774133917543e-21
Delphi-EmpiricalFuture,2010/2011,1 wk ahead,1.08349237562764e-73
Delphi-EmpiricalTraj,2010/2011,1 wk ahead,1.08349237562764e-73
Delphi-Stat,2010/2011,1 wk ahead,3.24699303215428e-06
Delphi-Uniform,2010/2011,1 wk ahead,4.79943806048987e-149
LANL-DBM,2010/2011,1 wk ahead,1.07076269261611e-21
ReichLab-KCDE,2010/2011,1 wk ahead,2.62461333763197e-08
ReichLab-KDE,2010/2011,1 wk ahead,2.81628718984107e-61
ReichLab-SARIMA1,2010/2011,1 wk ahead,3.82973969225014e-13
ReichLab-SARIMA2,2010/2011,1 wk ahead,7.47458442599184e-15
CU-BMA,2011/2012,1 wk ahead,1.62775482821917e-08
CU-EAKFC_SEIRS,2011/2012,1 wk ahead,0.0809915787167249
CU-EAKFC_SIRS,2011/2012,1 wk ahead,0.0809915787167249
CU-EKF_SEIRS,2011/2012,1 wk ahead,0.0809915787167249
CU-EKF_SIRS,2011/2012,1 wk ahead,0.0809915787167249
CU-RHF_SEIRS,2011/2012,1 wk ahead,0.0809915787167249
CU-RHF_SIRS,2011/2012,1 wk ahead,0.0809915787167249
Delphi-BasisRegression,2011/2012,1 wk ahead,1.76470735496414e-132
Delphi-DeltaDensity1,2011/2012,1 wk ahead,0.276663971257778
Delphi-DeltaDensity2,2011/2012,1 wk ahead,0.117954517035977
Delphi-EmpiricalBayes1,2011/2012,1 wk ahead,0.119426371304914
Delphi-EmpiricalBayes2,2011/2012,1 wk ahead,1.25251009703402e-16
Delphi-EmpiricalFuture,2011/2012,1 wk ahead,4.25204951822955e-76
Delphi-EmpiricalTraj,2011/2012,1 wk ahead,4.25204951822955e-76
Delphi-Stat,2011/2012,1 wk ahead,5.63307649587384e-06
Delphi-Uniform,2011/2012,1 wk ahead,4.04763190517854e-154
LANL-DBM,2011/2012,1 wk ahead,1.82557702461922e-21
ReichLab-KCDE,2011/2012,1 wk ahead,1.87469148589094e-08
