component_model_id,season,target,weight
CU-BMA,2010/2011,Season onset,0.0281862172847718
CU-BMA,2010/2011,Season peak week,0.0281862172847718
CU-BMA,2010/2011,Season peak percentage,0.0281862172847718
CU-EAKFC_SEIRS,2010/2011,Season onset,0.00033546833978479
CU-EAKFC_SEIRS,2010/2011,Season peak week,0.00033546833978479
CU-EAKFC_SEIRS,2010/2011,Season peak percentage,0.00033546833978479
CU-EAKFC_SIRS,2010/2011,Season onset,0.0116616114920883
CU-EAKFC_SIRS,2010/2011,Season peak week,0.0116616114920883
CU-EAKFC_SIRS,2010/2011,Season peak percentage,0.0116616114920883
CU-EKF_SEIRS,2010/2011,Season onset,1.64519520029515e-05
CU-EKF_SEIRS,2010/2011,Season peak week,1.64519520029515e-05
CU-EKF_SEIRS,2010/2011,Season peak percentage,1.64519520029515e-05
CU-EKF_SIRS,2010/2011,Season onset,5.13029361644232e-05
CU-EKF_SIRS,2010/2011,Season peak week,5.13029361644232e-05
CU-EKF_SIRS,2010/2011,Season peak percentage,5.13029361644232e-05
CU-RHF_SEIRS,2010/2011,Season onset,8.23555059621357e-07
CU-RHF_SEIRS,2010/2011,Season peak week,8.23555059621357e-07
CU-RHF_SEIRS,2010/2011,Season peak percentage,8.23555059621357e-07
CU-RHF_SIRS,2010/2011,Season onset,0.00304148871831216
CU-RHF_SIRS,2010/2011,Season peak week,0.00304148871831216
CU-RHF_SIRS,2010/2011,Season peak percentage,0.00304148871831216
Delphi-BasisRegression,2010/2011,Season onset,1.08540172505413e-72
Delphi-BasisRegression,2010/2011,Season peak week,1.08540172505413e-72
Delphi-BasisRegression,2010/2011,Season peak percentage,1.08540172505413e-72
Delphi-DeltaDensity1,2010/2011,Season onset,1.73721788223973e-10
Delphi-DeltaDensity1,2010/2011,Season peak week,1.73721788223973e-10
Delphi-DeltaDensity1,2010/2011,Season peak percentage,1.73721788223973e-10
Delphi-DeltaDensity2,2010/2011,Season onset,1.42603457948331e-19
Delphi-DeltaDensity2,2010/2011,Season peak week,1.42603457948331e-19
Delphi-DeltaDensity2,2010/2011,Season peak percentage,1.42603457948331e-19
Delphi-EmpiricalBayes1,2010/2011,Season onset,8.44871907367966e-13
Delphi-EmpiricalBayes1,2010/2011,Season peak week,8.44871907367966e-13
Delphi-EmpiricalBayes1,2010/2011,Season peak percentage,8.44871907367966e-13
Delphi-EmpiricalBayes2,2010/2011,Season onset,2.40356133176388e-10
Delphi-EmpiricalBayes2,2010/2011,Season peak week,2.40356133176388e-10
Delphi-EmpiricalBayes2,2010/2011,Season peak percentage,2.40356133176388e-10
Delphi-EmpiricalFuture,2010/2011,Season onset,0.0251384190135727
Delphi-EmpiricalFuture,2010/2011,Season peak week,0.0251384190135727
Delphi-EmpiricalFuture,2010/2011,Season peak percentage,0.0251384190135727
Delphi-EmpiricalTraj,2010/2011,Season onset,2.46127287018938e-19
Delphi-EmpiricalTraj,2010/2011,Season peak week,2.46127287018938e-19
Delphi-EmpiricalTraj,2010/2011,Season peak percentage,2.46127287018938e-19
Delphi-Stat,2010/2011,Season onset,9.06857067839946e-18
Delphi-Stat,2010/2011,Season peak week,9.06857067839946e-18
Delphi-Stat,2010/2011,Season peak percentage,9.06857067839946e-18
Delphi-Uniform,2010/2011,Season onset,2.8542805341617e-75
Delphi-Uniform,2010/2011,Season peak week,2.8542805341617e-75
Delphi-Uniform,2010/2011,Season peak percentage,2.8542805341617e-75
LANL-DBM,2010/2011,Season onset,0.618927913341544
LANL-DBM,2010/2011,Season peak week,0.618927913341544
LANL-DBM,2010/2011,Season peak percentage,0.618927913341544
ReichLab-KCDE,2010/2011,Season onset,0.250535577636317
ReichLab-KCDE,2010/2011,Season peak week,0.250535577636317
ReichLab-KCDE,2010/2011,Season peak percentage,0.250535577636317
ReichLab-KDE,2010/2011,Season onset,0.0335822462836272
ReichLab-KDE,2010/2011,Season peak week,0.0335822462836272
ReichLab-KDE,2010/2011,Season peak percentage,0.0335822462836272
ReichLab-SARIMA1,2010/2011,Season onset,5.97400488867901e-25
ReichLab-SARIMA1,2010/2011,Season peak week,5.97400488867901e-25
ReichLab-SARIMA1,2010/2011,Season peak percentage,5.97400488867901e-25
ReichLab-SARIMA2,2010/2011,Season onset,0.0285224790318316
ReichLab-SARIMA2,2010/2011,Season peak week,0.0285224790318316
ReichLab-SARIMA2,2010/2011,Season peak percentage,0.0285224790318316
CU-BMA,2011/2012,Season onset,0.0597233805344427
CU-BMA,2011/2012,Season peak week,0.0597233805344427
CU-BMA,2011/2012,Season peak percentage,0.0597233805344427
CU-EAKFC_SEIRS,2011/2012,Season onset,0.000118484243267691
CU-EAKFC_SEIRS,2011/2012,Season peak week,0.000118484243267691
CU-EAKFC_SEIRS,2011/2012,Season peak percentage,0.000118484243267691
CU-EAKFC_SIRS,2011/2012,Season onset,0.0298523586105686
CU-EAKFC_SIRS,2011/2012,Season peak week,0.0298523586105686
CU-EAKFC_SIRS,2011/2012,Season peak percentage,0.0298523586105686
CU-EKF_SEIRS,2011/2012,Season onset,4.10651015194524e-07
CU-EKF_SEIRS,2011/2012,Season peak week,4.10651015194524e-07
CU-EKF_SEIRS,2011/2012,Season peak percentage,4.10651015194524e-07
