epiweek,region,first-observed-wili,final-observed-wili
201038,nat,0.995,1.1180328172565
201039,nat,0.957,1.1180594218477
201040,nat,1.094,1.10939
201041,nat,1.4220000505447,1.24341
201042,nat,1.2460000514984,1.25726
201043,nat,1.2749999761581,1.25734
201044,nat,1.2960000038147,1.43414
201045,nat,1.3250000476837,1.51838
201046,nat,1.4270000457764,1.61617
201047,nat,1.8969999551773,1.84378
201048,nat,1.4889999628067,1.72535
201049,nat,1.8209999799728,1.87923
201050,nat,2.0569999217987,2.3371
201051,nat,2.6730000972748,3.03533
201052,nat,2.6319999694824,3.136
201101,nat,2.1659998893738,2.53336
201102,nat,2.8880000114441,2.91288
201103,nat,3.5940001010895,3.44497
201104,nat,3.9820001125336,4.16185
201105,nat,4.5729999542236,4.55159
201106,nat,4.4860000610352,4.46504
201107,nat,4.8759999275208,4.55124
201108,nat,4.0190000534058,4.0822
201109,nat,3.1129999160767,3.38812
201110,nat,2.9630000591278,2.99142
201111,nat,2.4630000591278,2.61542
201112,nat,2.0390000343323,2.09065
201113,nat,1.6460000276566,1.86146
201114,nat,1.37399995327,1.61377
201115,nat,1.2599999904633,1.42199
201116,nat,1.3209999799728,1.3382
201117,nat,1.2649999856949,1.19995
201118,nat,1.0249999761581,1.14889
201119,nat,0.94300001859665,1.12194
201120,nat,0.9200000166893,1.06712
201121,nat,0.85,1.05058
201122,nat,0.931,1.15203
201123,nat,0.742,0.970975
201124,nat,0.701,0.894683
201125,nat,0.974,0.843568
201126,nat,0.702,0.815409
201127,nat,0.792,0.823052
201128,nat,0.582,0.674635
201129,nat,0.68,0.631883
201041,hhs1,0.66200000047684,0.58519
201042,hhs1,0.62199997901917,0.587396
201043,hhs1,0.68800002336502,0.572541
201044,hhs1,0.67199999094009,0.603793
201045,hhs1,0.58499997854233,0.556758
201046,hhs1,0.73000001907349,0.705164
201047,hhs1,0.83200001716614,0.820865
201048,hhs1,0.58899998664856,0.689018
201049,hhs1,0.66000002622604,0.760426
201050,hhs1,0.70300000905991,0.802437
201051,hhs1,1.0920000076294,1.01492
201052,hhs1,0.81000000238419,1.13074
201101,hhs1,1.0190000534058,0.959888
201102,hhs1,1.3289999961853,1.18688
201103,hhs1,1.1759999990463,1.20524
201104,hhs1,1.3539999723434,1.40872
201105,hhs1,1.7610000371933,1.87486
201106,hhs1,2.3289999961853,1.99294
201107,hhs1,2.6180000305176,2.31154
201108,hhs1,2.0739998817444,2.32248
201109,hhs1,1.8150000572205,1.75247
201110,hhs1,1.4459999799728,1.65827
201111,hhs1,1.3910000324249,1.36504
201112,hhs1,1.0449999570847,1.02294
201113,hhs1,1.164999961853,1.11948
201114,hhs1,0.90200001001358,0.934313
201115,hhs1,0.78500002622604,0.834506
201116,hhs1,0.6259999871254,0.779753
201117,hhs1,0.59500002861023,0.675821
201118,hhs1,0.52499997615814,0.592222
201119,hhs1,0.44299998879433,0.515393
201120,hhs1,0.391999989748,0.498389
201041,hhs3,1.5549999475479,1.2933
201042,hhs3,1.00100004673,1.13853
201043,hhs3,1.0460000038147,1.0814
201044,hhs3,1.567999958992,1.22399
201045,hhs3,1.3090000152588,1.29275
201046,hhs3,1.2840000391006,1.27122
201047,hhs3,1.4689999818802,1.48456
201048,hhs3,1.2170000076294,1.47526
201049,hhs3,1.3420000076294,1.45221
201050,hhs3,1.5809999704361,1.62095
201051,hhs3,2.1619999408722,2.17871
201052,hhs3,2.6229999065399,2.61376
201101,hhs3,2.2139999866486,2.20241
201102,hhs3,2.5160000324249,2.45368
201103,hhs3,3.5680000782013,3.28175
201104,hhs3,4.4109997749329,4.04917
201105,hhs3,4.4660000801086,4.41603
201106,hhs3,4.0419998168945,4.05556
201107,hhs3,4.311999797821,3.96545
201108,hhs3,3.9159998893738,3.56746
201109,hhs3,2.8010001182556,2.9587
201110,hhs3,2.539999961853,2.58462
